"","year","soc_2010_minor","lf_total","lf","emp","unemp","male","female","female_share","mean_weekly_earnings","median_weekly_earnings","mean_age","median_age","mean_educ","median_educ"
"103",2024,"11-3100",397766.43,397766.43,385048.74,12717.69,105934.71,291831.72,0.733676092273549,1745.53333333333,1682.5,44.4940476190476,43,104.504325867822,111
"104",2025,"11-3100",339434.19,337627.26,317619.41,20007.85,89488.63,248138.63,0.734948445809737,1745.53333333333,1682.5,45.375,44,107.420932361919,111
"105",2000,"11-9000",3501555.61,3483563.09,3444460.75,39102.34,1887414.52,1596148.57,0.458194247890025,756.140969162996,674,44.9376723662438,44,88.2432326839242,81
"106",2001,"11-9000",3360052.87000001,3339506.06000001,3288094.04000001,51412.02,1847672.01,1491834.05,0.446722965371712,758.981029810298,654.5,43.6929792651873,44,88.9511164025255,81
"107",2002,"11-9000",3605958.7,3582889.71,3527203.66,55686.05,1963990.03,1618899.68,0.451841896076672,759.228346456693,632.5,44.2833625218914,44,87.7925485236327,81
"108",2003,"11-9000",3618018.99,3595937.04,3519144.05,76792.99,2323069.16,1272867.88,0.353973906061492,918.53021978022,824.5,45.5597616543989,46,89.7462719341714,81
"109",2004,"11-9000",3748999.18,3731499.4,3656929.53,74569.87,2482856.36,1248643.04,0.334622334389227,991.685643564356,870,45.4317482039001,45,90.2277131975418,81
"110",2005,"11-9000",3898706.48000001,3861799.56000001,3767722.67,94076.89,2555675.9,1306123.66,0.338216326276654,1039.51111111111,962,46.0168558651531,46,90.626139182635,81
"111",2006,"11-9000",3740326.51000001,3701031.46000001,3624538.60000001,76492.86,2496488.1,1204543.36,0.32546152958127,1064.32034632035,923,45.9552830869095,46,89.7995354489635,81
"112",2007,"11-9000",4207847.72999999,4187641.28999999,4121472.13999999,66169.15,2787439.93,1400201.36,0.334365162399094,1017.70422535211,877,45.6547658041271,46,89.6798142970836,81
"113",2008,"11-9000",4356080.15999999,4331943.57,4246020.76999999,85922.8,2949339.02,1382604.55,0.319164949325506,1114.0572519084,959.5,46.0371087447564,47,90.1029362785537,81
"114",2009,"11-9000",4390538.15,4366059.35,4158877.9,207181.45,2988400.76,1377658.59,0.315538218691416,1090.10909090909,923,46.3182552504039,47,90.6916302637984,81
"115",2010,"11-9000",4367382.96000001,4334832.39000001,4063886.81,270945.58,3000767.52,1334064.87,0.307754660382613,1107.16666666667,962,46.0893437296946,47,90.0808620907254,81
"116",2011,"11-9000",4324091.92000002,4304306.11000002,4085511.80000002,218794.31,2847561.06000001,1456745.05,0.338438998707738,1072.91481481481,942.5,46.2310286677909,47,90.7228609630643,81
"117",2012,"11-9000",4056830.22,4040905.25,3843420.39999999,197484.85,2593669.73,1447235.52,0.358146363367466,1150.33712121212,996,46.8101311953353,48,91.0742499790117,81
"118",2013,"11-9000",4189947.48000001,4148395.70000001,3990350.81000001,158044.89,2644376.61,1504019.09,0.362554394220396,1208.15593220339,1019,46.6315973435862,47,92.7917374444294,91
"119",2014,"11-9000",7785706.39999999,7697801.13999999,7436587.51999999,261213.62,4922801.70000001,2774999.44,0.360492482142764,1173.5991902834,965.5,46.4688828759181,47,92.6488864637002,91
"120",2015,"11-9000",4393140.38000001,4358497.62000001,4222030.69,136466.93,2768612.2,1589885.42,0.364778315515061,1180.70358306189,1000,45.9789855072464,46,91.6004073073235,81
"121",2016,"11-9000",4385424.02,4344220.6,4237962.74,106257.86,2759258.09,1584962.51,0.364843928505841,1265.37777777778,1142,46.3526477359939,47,91.5029148381645,91
"122",2017,"11-9000",4528775.18000002,4502839.53000001,4411479.52000001,91360.01,2860449.41,1642390.12,0.364745425427141,1194.56126482213,1000,46.6577380952381,47,91.8939441486155,91
"123",2018,"11-9000",4575565.12,4555415.86,4458943.88,96471.98,2783279.29,1772136.57,0.389017517711324,1237.83333333333,1043,46.8659196290572,47,91.6572649154362,81
"124",2019,"11-9000",4447633.18,4419244.8,4327993.79,91251.01,2697303.62,1721941.18,0.389646027303126,1341.93703703704,1153.5,46.6173184357542,46,93.9508002815323,92
"125",2020,"11-9000",4460855.01980001,4419924.60640001,4305734.9506,114189.6558,2683533.08549999,1736391.5209,0.392855461467765,1401.31506849315,1205.5,47.1978417266187,46,93.0228470849374,91
"126",2021,"11-9000",4325885.821,4281128.1258,4088942.088,192186.0378,2654471.5589,1626656.5669,0.379959795432666,1354.03361344538,1163.5,46.6468029578077,46,93.369660438907,91
"127",2022,"11-9000",4265676.60000001,4229089.84000001,4151669.15000001,77420.69,2658601.49,1570488.35,0.371353744993982,1384.68817204301,1138,47.0433734939759,46,92.6790087888034,91
"128",2023,"11-9000",4623882.78000001,4593999.06000001,4494310.61000001,99688.45,2945728.2,1648270.86,0.358787809590888,1562.93684210526,1526,47.1694997571637,46,94.3545415048474,92
"129",2024,"11-9000",4727994.11,4690298.48,4605027.61,85270.87,2947535.11,1742763.37,0.37156768965373,1562.93684210526,1526,46.3746478873239,46,93.62265928756,92
"130",2025,"11-9000",4543193.38000001,4494816.91,4392530.46,102286.45,2784490.11,1710326.8,0.380510893824149,1562.93684210526,1526,46.865157480315,46,94.061656422397,92
"131",2000,"11-9100",10619968.2,10558807.68,10384918.24,173889.44,6596379.62999999,3962428.04999999,0.37527230063158,967.84385026738,857.5,44.0428997020854,44,94.057958870788,91
"132",2001,"11-9100",11064210.67,10991588.23,10782493.05,209095.18,6799941.17000002,4191647.06,0.381350444748238,1062.01004394225,900,43.4832576965534,44,94.7952370118947,92
"133",2002,"11-9100",11312667.26,11255822.72,10876049.07,379773.65,6872277.96,4383544.76,0.389446855111805,1097.16113161132,961,43.624682702768,44,94.9162069114385,92
"134",2003,"11-9100",5572698.65999998,5554175.96999999,5362703.71999998,191472.25,3248523.34,2305652.63,0.415120558378707,1053.35428571429,923,44.5619813930098,45,96.146174257781,92
"135",2004,"11-9100",5100612.15,5067006.78,4948802.74,118204.04,2902021.68000001,2164985.1,0.42727100909859,1100.85235920852,962,45.1053077357425,46,96.6411492822198,92
"136",2005,"11-9100",4756339.21000001,4734047.94000001,4648694.92000001,85353.02,2659636.88,2074411.06,0.438189702827555,1099.9936440678,923,44.8493233082707,45,97.4423251024364,111
"137",2006,"11-9100",4959844.63000001,4940222.29000001,4831303.45000001,108918.84,2883571.62999999,2056650.66,0.416307311548121,1142.48198198198,961,45.1240401653869,46,97.6290455525229,111
"138",2007,"11-9100",5114255.42,5086164.61,4979033.59000001,107131.02,2786619.45,2299545.16,0.452117722552436,1171.99771689498,962,45.3308801884015,46,98.2540773901536,111
"139",2008,"11-9100",4902993.92000001,4879698.37000001,4779049.78000001,100648.59,2680520.74,2199177.63,0.45067900989954,1232.31954022988,1153,45.5445879458795,46,98.2780216741143,111
"140",2009,"11-9100",5013041.1,4981994.39000001,4787183.08000001,194811.31,2831566.18,2150428.21,0.431640030409589,1220.53864168618,1061,45.7488721804511,47,97.9312467049966,111
"141",2010,"11-9100",4846587.9,4824033.03,4631005.57999999,193027.45,2709194.48,2114838.55,0.43839636603815,1242.45036319613,1154,45.8064716863721,47,97.8313907792625,111
"142",2011,"11-9100",4824689.99000001,4789636.15000001,4546740.56,242895.59,2660367.13,2129269.02,0.444557572499531,1293.06613756614,1107.5,46.3713553348286,48,97.0859213909181,111
"143",2012,"11-9100",5222326.89000001,5194002.99,4949158.45,244844.54,2906302.27,2287700.72,0.440450404900518,1370.44471153846,1196,46.525433871933,48,98.167311603723,111
"144",2013,"11-9100",5681451.05999999,5648769.97999999,5484644.44999999,164125.53,3241449.88,2407320.1,0.426167131698288,1373.03301886792,1153,47.0056834327934,49,98.014214163488,111
"145",2014,"11-9100",11703806.58,11633200.82,11237148.81,396052.01,6762831.81000001,4870369.01000001,0.418661130789282,1312.01154734411,1057.5,46.5230102869518,48,98.7749040620446,111
"146",2015,"11-9100",6032143.06000001,5985908.92000001,5837113.96000001,148794.96,3434150.27,2551758.65,0.426294266101196,1392.31100478469,1250,46.6408869659275,48,98.8675278407008,111
"147",2016,"11-9100",6476448.04999999,6426064.34999999,6305151.05999999,120913.29,3639889.48,2786174.87,0.433574069329075,1410.66590909091,1336.5,46.146880176698,47,99.9247507130865,111
"148",2017,"11-9100",6431046.73999998,6408457.97999999,6276193.25999999,132264.72,3648053.68,2760404.3,0.430743918211663,1371.56959314775,1250,46.3321269487751,47,99.4405272467746,111
"149",2018,"11-9100",6702399.66,6671563.96,6568955.41,102608.55,3868886.43,2802677.53,0.420093031679486,1426.04035874439,1326.5,46.5254189944134,47,100.561895807711,111
"150",2019,"11-9100",7383552.20999999,7348887.39999999,7215676.56999999,133210.83,4217506.15000001,3131381.25,0.426102766250031,1486.27151051625,1250,46.7149378645701,47,100.244111266421,111
"151",2020,"11-9100",7746462.5941,7693753.8641,7540728.431,153025.4331,4154254.14639999,3539499.7177,0.460048473114762,1614.3797979798,1538,46.8959978219439,47,100.834014104447,111
"152",2021,"11-9100",8254755.76909999,8198851.26649999,7981320.42159999,217530.8449,4571624.6234,3627226.6431,0.44240668908346,1598.48684210526,1442,46.5042225534029,46,100.804924595921,111
"153",2022,"11-9100",8814874.57999997,8792017.66999998,8683407.50999997,108610.16,4980917.74000001,3811099.93,0.43347273322757,1627.77911646586,1564.5,46.693300248139,46,100.890673979958,111
"154",2023,"11-9100",9134013.03,9065216.96,8929854.84999999,135362.11,4889306.73,4175910.23,0.460651989734617,1737.90105263158,1661.5,45.939974779319,46,101.138721447655,111
"155",2024,"11-9100",8898833.88999997,8833700.84999998,8653786.44999998,179914.4,4509238.04,4324462.81,0.48954145985145,1737.90105263158,1661.5,46.4185444185444,46,100.921026826486,111
"156",2025,"11-9100",9117505.57000001,9062492.98000001,8867995.74,194497.24,4921052.29,4141440.69,0.45698691288807,1737.90105263158,1661.5,46.4793085385018,46,101.188314955252,111
"157",2000,"13-1000",1919676.86,1918116.34,1845153.01,72963.33,747463.19,1170653.15,0.610313944773548,712.700507614213,648,41.0715859030837,41,93.5074887115555,91
"158",2001,"13-1000",2051685.99,2027657.9,1972382.82,55275.08,784573.08,1243084.82,0.613064373433014,763.680781758958,643.5,40.4301003344482,39,92.6474956450988,86
"159",2002,"13-1000",2005477.08,1997978.69,1920502.54,77476.15,749783.48,1248195.21,0.624728990477871,787.173501577287,692,40.6559065934066,40,92.4547937545819,81
"160",2003,"13-1000",1886974.58,1870284.43,1808022.09,62262.34,834447.909999999,1035836.52,0.553839032921854,829.056338028169,769,41.9476082004556,41,93.6434281335486,91
"161",2004,"13-1000",1865734.59,1844107.93,1776887.25,67220.68,817272.439999999,1026835.49,0.556819627146227,889.77133105802,804,42.3142164781906,42,93.5925463646805,91
"162",2005,"13-1000",1913564.98,1904787.78,1843677.39,61110.39,801681.820000001,1103105.96,0.57912276190684,857.48275862069,851.5,41.8870967741936,42,94.4198751737059,92
"163",2006,"13-1000",1955150.74,1940677.77,1884082.73,56595.04,847299.27,1093378.5,0.563400332039667,923.07305936073,778.5,42.4131274131274,42,94.9420124908216,92
"164",2007,"13-1000",1956560.25,1945094.51,1908146.66,36947.85,805149.85,1139944.66,0.586061322027998,978.425,882.5,42.2007692307692,42,96.2258194230366,92
"165",2008,"13-1000",1933171.44,1924013.13,1864733.85,59279.28,700845.19,1223167.94,0.635737834076007,1017.30705394191,902,43.2242472266244,44,96.9218231478494,111
"166",2009,"13-1000",1969215.45,1964851.64,1835640.65,129210.99,734462.23,1230389.41,0.626199650371567,1073.46700507614,962,43.1500375093773,44,94.950127206551,92
"167",2010,"13-1000",2053636.43,2044469.51,1930411.49,114058.02,846403.789999999,1198065.72,0.586003221931151,1081.3056768559,952.5,43.307467057101,44,96.4712707894576,111
"168",2011,"13-1000",1749876.93,1737163.02,1625703.36,111459.66,795419.52,941743.5,0.542115788304082,1094.91124260355,1038,43.0864527629234,43,97.0958022753675,111
"169",2012,"13-1000",1922278.13,1918391.25,1810088.7,108302.55,876878.47,1041512.78,0.542909471673205,1059.04605263158,892,43.7996729354047,44,96.56801646171,111
"170",2013,"13-1000",1899088.98,1897323.86,1825714.72,71609.14,817542.82,1079781.04,0.56910739529729,1026.0523255814,962,43.8682235195997,45,96.3837864822931,92
"171",2014,"13-1000",4122057.24,4095972.95,3965499.45,130473.5,1759705.69,2336267.26,0.570381515825196,1042.05687203791,810.5,43.711038961039,44,97.4710507158013,111
"172",2015,"13-1000",2049233.98,2033043.79,1988036.91,45006.88,899249.09,1133794.7,0.557683364016473,1119.18556701031,996,43.7870913663034,44,98.039940536647,111
"173",2016,"13-1000",2110851.67,2093359.53,2044389.96,48969.57,871785.869999999,1221573.66,0.583546993477991,1173.41847826087,955.5,43.7867256637168,43,98.4169320785522,111
"174",2017,"13-1000",2214353.87,2197996.78,2138241.21,59755.57,931908.409999999,1266088.37,0.576019210546796,1182.22488038278,1045,43.9538590604027,44,98.5134130906233,111
"175",2018,"13-1000",2241855.48,2223654.65,2172382.57,51272.08,1006347.13,1217307.52,0.547435511175263,1223.14117647059,912.5,43.7203918076581,42,97.8562963632866,111
"176",2019,"13-1000",2307464.85,2279474.95,2251597.93,27877.02,964632.18,1314842.77,0.576818258081757,1221.53977272727,1045,43.6753574432296,43,99.667624555383,111
"177",2020,"13-1000",2523916.7654,2505386.4289,2426526.6973,78859.7316,1005019.8021,1500366.6268,0.598856371812768,1391.60732984293,1250,44.3877737226277,43,99.8941478076434,111
"178",2021,"13-1000",2350280.9912,2328640.7875,2197181.5923,131459.1952,941379.2333,1387261.5542,0.595738750968691,1276.49112426036,1153.5,43.2143522833178,42,100.525082548268,111
"179",2022,"13-1000",2500857.33,2494536.56,2447186.99,47349.57,1009865.87,1484670.69,0.595168943926002,1379.86956521739,1212.5,43.4380776340111,42,99.1278811724452,111
"180",2023,"13-1000",2678604.62,2670265.5,2607571.57,62693.93,1105358.41,1564907.09,0.586049248660854,1401.29299363057,1195,43.0265906932574,41,98.9920895356662,111
"181",2024,"13-1000",2353707.24,2336353.88,2272471.1,63882.78,923270.66,1413083.22,0.60482413734344,1401.29299363057,1195,43.6927029804728,41,98.8144694244693,111
"182",2025,"13-1000",2663252.12,2648562.11,2557244.31,91317.8,1133224.5,1515337.61,0.572135954176283,1401.29299363057,1195,43.0216981132075,42,99.4973534639897,111
"183",2000,"13-1100",1080423.17,1061884.69,1030400.62,31484.07,384232.78,677651.91,0.638159600926161,862.633663366337,673,42.8181818181818,42,97.4909963058228,111
"184",2001,"13-1100",1200255.96,1189372.99,1156265.96,33107.03,453984.599999999,735388.39,0.61829921831334,812.136612021858,648,41.6542168674699,42,99.1729725592641,111
"185",2002,"13-1100",1246940.22,1239970.04,1181523.82,58446.22,452656.33,787313.71,0.634945752398986,888.736559139785,739,42.5266821345708,42,99.7117184944245,111
"186",2003,"13-1100",981762.199999999,976551.249999999,919567.089999999,56984.16,488897.69,487653.56,0.499362998101739,1020.98039215686,865,44.0228658536585,45,103.951664165091,111
"187",2004,"13-1100",950862.570000001,943531.81,903629.65,39902.16,464858.09,478673.72,0.507321231702829,939.823529411765,838.5,43.6714060031596,43,100.932210425423,111
"188",2005,"13-1100",1023250.14,1010975.81,983689.32,27286.49,473303.97,537671.84,0.531834525298879,1024.5,877.5,43.7668097281831,43,103.797622546478,111
"189",2006,"13-1100",929590.29,916636.29,884854.35,31781.94,434900.73,481735.56,0.525547117494115,974.238636363636,848,43.2628951747088,43,103.957808925501,111
"190",2007,"13-1100",1098043.58,1089497.34,1028780.58,60716.76,505333.05,584164.29,0.53617780287559,1190.10666666667,942,44.4650499286733,44,104.122614131394,111
"191",2008,"13-1100",1177658.61,1175460.22,1145640.6,29819.62,578786.52,596673.7,0.507608585852441,1123.43269230769,959,43.3167785234899,42.5,106.00235097705,111
"192",2009,"13-1100",1335534.2,1326794.44,1268995.95,57798.49,637109.27,689685.17,0.51981312945508,1114.63461538462,1125,44.1824401368301,45,104.235452471447,111
"193",2010,"13-1100",1127075.7,1113138.52,1051881.94,61256.58,527625.13,585513.39,0.52600227148729,1171.21,1153,43.0542005420054,44,105.431998912409,111
"194",2011,"13-1100",1653409.13,1647596.72,1554466.94,93129.78,713241.009999999,934355.71,0.567102191123566,1220.17605633803,1009.5,43.518315018315,44,104.485983378263,111
"195",2012,"13-1100",1746085.11,1726525.19,1641162.33,85362.86,824564.58,901960.61,0.522413814304094,1295.66666666667,1000,43.8287545787546,44,105.886736254337,111
"196",2013,"13-1100",1660738.22,1644691.92,1559054.76,85637.16,746278.14,898413.780000001,0.546250497783196,1259.44117647059,1154,43.3026315789474,43,106.955208523187,111
"197",2014,"13-1100",3560458.34,3514902.41,3350410.71,164491.7,1558702.76,1956199.65,0.556544512995454,1325.47712418301,1067,43.5443946188341,42,105.960320704893,111
"198",2015,"13-1100",1744799.16,1724727.93,1669751.98,54975.95,817645.650000001,907082.279999999,0.525927750239424,1213.23287671233,1105.5,43.9727187206021,45,104.85287607072,111
"199",2016,"13-1100",2009081.05,1985789.98,1924298.08,61491.9,963615.919999999,1022174.06,0.514744293351707,1225.26708074534,1038.5,44.0599812558575,43,105.441222686601,111
