"","soc_2010_broad","n_years","n_years_explicit","min_year","max_year","year","lf_total","lf","emp","unemp","male","female","female_share","mean_weekly_earnings","median_weekly_earnings","mean_age","median_age","mean_educ","median_educ"
"13","11-3120",26,26,2000,2025,2012.5,290148.734973077,288877.123046154,278918.424584615,9958.69846153846,81478.6076346154,207398.515411538,0.712862738951467,1375.72811140391,1243.34615384615,44.4242058385715,44.4038461538462,104.171972110716,111
"14","11-3130",15,15,2011,2025,2018,54245.0590133333,53801.43568,52330.3890133333,1471.04666666667,27828.2667466667,25973.1689333333,0.470049166687712,1529.1017989418,1533.7,43.8966599531771,42.6,103.439866205377,108.366666666667
"15","11-9010",26,26,2000,2025,2012.5,1011786.43550769,1003695.62599231,989724.605230769,13971.0207615385,751223.407584615,252472.218407692,0.252626522860404,868.343032470704,719.25,52.253601734004,54.9423076923077,82.261220034238,77.6153846153846
"16","11-9020",23,23,2003,2025,2014,1019227.56017826,1015008.78234348,975093.833717391,39914.948626087,935287.981108696,79720.8012347826,0.0779491386514615,1456.48317815043,1296.45652173913,45.4701722672573,45.9565217391304,87.3259527948864,81.4347826086957
"17","11-9030",26,26,2000,2025,2012.5,937447.212938461,929897.8536,915725.320723077,14172.5328769231,321315.701411538,608582.152188462,0.653745911438841,1284.0330533784,1211.48076923077,45.98314101379,46.7692307692308,112.477164400996,123
"18","11-9040",23,23,2003,2025,2014,138703.020921739,138234.60593913,135989.455665217,2245.15027391304,124648.182078261,13586.4238608696,0.0941217771839784,2002.1542955588,1986.39130434783,46.8015544725091,47.6521739130435,109.749090368029,111
"19","11-9050",26,26,2000,2025,2012.5,1199773.98112692,1189524.38461923,1141934.36587692,47590.0187423077,639066.815811539,550457.568807692,0.461492539286537,843.216410011586,691.519230769231,40.6703272294138,39.6730769230769,84.0194901391061,80.6923076923077
"20","11-9070",17,17,2003,2019,2011,18510.5782352941,18025.5588235294,16944.73,1080.82882352941,11833.3952941176,6192.16352941176,0.315013812947259,969.922549019608,792.529411764706,44.0301522265145,41.9705882352941,86.7150337217815,80.2647058823529
"21","11-9080",23,23,2003,2025,2014,156903.799417391,155021.289226087,147646.925443478,7374.3637826087,76231.7850478261,78789.5041782609,0.506583949390436,974.353832579405,895.760869565217,45.6005800872122,44.7173913043478,92.6332783720861,89.2173913043478
"22","11-9110",26,26,2000,2025,2012.5,688976.862280769,685202.835126923,672513.63485,12689.2002769231,186509.540765385,498693.294361538,0.723423103420322,1323.23867546592,1176.13461538462,45.9450406009544,46.9230769230769,104.879051038463,109.538461538462
