"","occ","n_years","n_years_explicit","min_year","max_year","year","n_months","n_months_explicit","min_month","max_month","month","lf_total","lf","emp","unemp","male","female","female_share","mean_weekly_earnings","median_weekly_earnings","mean_age","median_age","mean_educ","median_educ"
"837",5820,17,17,2003,2019,2011,12,12,1,12,6.5,174597.239378922,171950.958615686,161129.585526471,10821.3730892157,14197.6054181373,157753.353197549,0.907095043641063,582.278548765883,513.799215686274,44.4074380627459,43.8210784313725,85.0442585317538,80.9705882352941
"838",5830,10,10,2003,2012,2007.5,9.9,9.9,1.1,10.8,6.08454545454545,6163.84675872727,6122.55211956061,5794.47120914394,328.080910416667,2576.30531651515,3546.24680304545,0.522475906291595,626.471698863636,609.539954545455,46.0723629148629,42.3248106060606,90.8124183265013,86.2720454545454
"839",5840,17,17,2003,2019,2011,12,12,1,12,6.5,276689.799122549,274795.961463235,263659.608746078,11136.3527171569,44994.5560529412,229801.405410294,0.837103412897319,678.297074166029,607.664411764706,41.8059283146492,40.125,87.6955746434816,81.7720588235294
"840",5850,17,17,2003,2019,2011,12,12,1,12,6.5,109200.90795049,107721.163872549,98327.5160921569,9393.64778039216,53024.5342769608,54696.6295955882,0.501089031185779,541.381461303079,460.609142156863,43.57929786606,42.2696078431373,78.6735192180661,74.8235294117647
"841",5860,17,17,2003,2019,2011,12,12,1,12,6.5,1214084.73340441,1194126.7066348,1120694.17673775,73432.5298970588,195393.636533824,998733.07010098,0.836485050678539,558.579631081024,511.740073529412,42.425025581118,41.4264705882353,85.253078775955,81
"842",5900,17,17,2003,2019,2011,12,12,1,12,6.5,47255.699222549,46518.9375696078,42965.5371215686,3553.40044803922,18642.7587696078,27876.1788,0.597774037559403,542.968935287711,461.579068627451,41.4588471595988,38.7058823529412,81.8133868590708,77.9117647058823
"843",5910,17,17,2003,2019,2011,12,12,1,12,6.5,12569.1885264706,12333.089754902,11451.8115367647,881.278218137255,2905.22153921569,9427.86821568627,0.80755682046407,593.722325980392,545.238357843137,47.778180193989,43.5710784313725,96.8825377677333,91.6225490196078
"844",5920,17,17,2003,2019,2011,11.9411764705882,11.9411764705882,1,12,6.49197860962567,25557.1346012032,25386.6370796346,24803.5241546346,583.112925,10092.871569385,15293.7655102496,0.6062816177823,852.534093803936,737.331998663102,42.8113427064929,40.370320855615,92.8369314861488,88.0483511586453
"845",5930,8,8,2003,2010,2006.5,12,12,1,12,6.5,584381.781916667,578103.433766667,554404.157383333,23699.2763833333,131691.241204167,446412.1925625,0.771545872257326,654.739944446872,586.922864583333,42.4481957895598,41.6875,89.3831872124453,81.6770833333333
"846",5940,9,9,2011,2019,2015,12,12,1,12,6.5,567081.840925926,560974.283321296,538532.784721296,22441.4986,134741.265062963,426233.018258333,0.760622873667528,786.713368794849,695.876759259259,43.633758914994,42.4907407407407,92.8076303672572,88.1666666666667
"847",6000,8,8,2003,2010,2006.5,12,12,1,12,6.5,52464.2269625,52135.4331510417,49749.2409833333,2386.19216770833,45301.163940625,6834.26921041667,0.125797515626937,656.482893394511,526.615,46.7847305694215,45.5625,70.5828881832284,72.515625
"848",6005,9,9,2011,2019,2015,12,12,1,12,6.5,54639.5336,54266.1615342593,52059.5383046296,2206.62322962963,46573.4497796296,7692.71175462963,0.140075542978735,784.084063161376,643.027916666667,47.5206495828841,45.8287037037037,72.4741428055894,73.5925925925926
"849",6010,17,17,2003,2019,2011,12,12,1,12,6.5,20318.8785808824,20033.9754406863,18872.0465196078,1161.92892107843,12229.2078720588,7804.76756862745,0.383371842088473,818.486045051354,740.018480392157,47.4365088366403,45.1642156862745,88.6081106147302,85.1372549019608
"850",6020,10,10,2003,2012,2007.5,10.8,10.8,1,11.2,6.14121212121212,8656.21113036364,8618.26819339394,8578.19918407576,40.0690093181818,3526.08599259091,5092.18220080303,0.595733685473316,575.991068181818,569.292151515152,49.739868025493,47.0412121212121,83.5172062032435,78.5775757575758
"851",6040,17,17,2003,2019,2011,12,12,1,12,6.5,103291.65959902,101620.70917598,85559.2121612745,16061.4970147059,34648.8282235294,66971.880952451,0.662460972406302,492.91639893748,413.012892156863,42.1261797676889,40.2524509803922,61.2424442624184,69.3848039215686
"852",6050,17,17,2003,2019,2011,12,12,1,12,6.5,810985.425171569,795212.849962255,700462.819139706,94750.030822549,622579.788228922,172633.061733333,0.215614103911062,463.939613623352,397.145931372549,38.8013800452846,35.8382352941176,55.8283818099495,68.3259803921569
"853",6100,17,17,2003,2019,2011,12,12,1,12,6.5,43020.3271372549,41550.6374779412,36657.8193343137,4892.81814362745,39100.0881617647,2450.54931617647,0.0591526130497552,769.904745098039,624.013970588235,43.9039960524087,42.5073529411765,72.3021825449459,72.9901960784314
"854",6110,10,10,2003,2012,2007.5,7.3,7.3,1.5,10.3,5.76786435786436,2601.11812079473,2557.84728279473,2218.50004912807,339.347233666667,2097.64211866775,460.205164126984,0.133176916955149,464.5978,464.5978,45.0308520923521,43.3429184704185,77.5497675330424,76.3111616161616
"855",6120,17,17,2003,2019,2011,11.9411764705882,11.9411764705882,1,12,6.48663101604278,18783.1755493761,18179.6350898841,15772.4519345365,2407.18315534759,15124.6598349376,3054.97525494652,0.173108002893983,607.367490471946,541.753288770053,41.9774642234234,37.6227718360071,74.2506292578014,70.1853832442068
"856",6130,17,17,2003,2019,2011,12,12,1,12,6.5,76900.1957936275,75837.1066705882,68517.0422122549,7320.06445833333,74343.753145098,1493.3535254902,0.0197555232880597,640.241761160136,521.119019607843,43.255157113328,41.7475490196078,66.7176957845357,72.6789215686274
"857",6200,17,17,2003,2019,2011,12,12,1,12,6.5,802930.957586765,798232.769879902,757332.182637255,40900.5872426471,775250.432954902,22982.336925,0.0289576696559531,1103.86724414862,963.806151960784,44.7924983723114,44.4338235294118,77.1338356217864,73.0392156862745
"858",6210,17,17,2003,2019,2011,12,12,1,12,6.5,26074.818979902,25749.4250544118,20614.9698779412,5134.45517647059,25191.3761426471,558.048911764706,0.0205025989662626,1138.68600793651,967.833725490196,41.9612607933719,39.5686274509804,76.0164020812475,73.7230392156863
