"","occ2010","n_years","n_years_explicit","min_year","max_year","year","n_months","n_months_explicit","min_month","max_month","month","lf_total","lf","emp","unemp","male","female","female_share","mean_weekly_earnings","median_weekly_earnings","mean_age","median_age","mean_educ","median_educ"
"342",6730,20,20,2000,2019,2009.5,12,12,1,12,6.5,136485.345740833,135009.719060833,126328.828727083,8680.89033375,131159.808159167,3849.91090166667,0.0283407852667812,745.343222976096,638.195083333333,43.7272739692174,42.875,72.273009886128,73.0166666666667
"343",6740,17,17,2003,2019,2011,11.8235294117647,11.8235294117647,1,12,6.49304812834225,12654.0376686542,12504.20978082,11672.7658610339,831.443919786096,12468.4965592513,35.7132215686275,0.00253886962857015,982.847623811646,918.426933600713,42.5389686306464,38.840953654189,76.4708302319565,74.032486631016
"344",6765,17,17,2003,2019,2011,12,12,1,12,6.5,57675.3822446078,57124.0168073529,51986.2125093137,5137.80429803922,54754.0857093137,2369.93109803922,0.0404916976618096,759.974589197295,608.088235294118,39.6026983556998,37.0024509803922,73.1845846789569,73.4411764705882
"345",6800,20,20,2000,2019,2009.5,12,12,1,12,6.5,44447.6159820833,44138.7895145833,40600.6683654167,3538.12114916667,43521.097075,617.692439583333,0.0119677861491838,1224.49262014596,969.739770833333,36.4211831716527,32.3229166666667,72.8821694756778,73.275
"346",6820,20,20,2000,2019,2009.5,12,12,1,12,6.5,28248.8575629167,28038.49113,26282.8811479167,1755.60998208333,27666.10223875,372.38889125,0.0127319196051142,1029.0088771134,870.710770833333,40.4495009801873,37.9354166666667,73.8790184221697,73.0479166666667
"347",6830,20,20,2000,2019,2009.5,12,12,1,12,6.5,9124.129575,9105.68477458333,8463.01944166667,642.665332916667,8795.62085875,310.063915833333,0.0285162761443974,1081.9415625,992.2875,40.5743610209235,37.1416666666667,77.3150741884962,74.0416666666667
"348",6840,20,20,2000,2019,2009.5,12,12,1,12,6.5,56834.91235,56247.3994945833,52469.2555245833,3778.14397,55046.3324358333,1201.06705875,0.0208761749429354,1117.20721287064,926.4745,40.8695545367815,38.6333333333333,73.7906679305033,73.1166666666667
"349",6940,20,20,2000,2019,2009.5,12,12,1,12,6.5,63497.8776208333,62915.4318708333,56021.5158058333,6893.916065,61208.3197691667,1707.11210166667,0.0318608222426272,1077.19720452835,834.167541666667,36.9707748116031,33.70625,69.9499323503503,72.9729166666667
"350",7000,20,20,2000,2019,2009.5,12,12,1,12,6.5,304243.955629583,302443.38946375,295219.533130417,7223.85633333333,279876.210479167,22567.1789845833,0.075261455644074,1030.13951300553,923.045645833333,46.3880992842558,46.4979166666667,81.6292178233897,77.8166666666667
"351",7010,20,20,2000,2019,2009.5,12,12,1,12,6.5,317757.549097083,315787.26203,298257.0236725,17530.2383575,276389.067311667,39398.1947183333,0.125552712627379,829.895895049135,739.309229166667,40.4425154642454,38.5833333333333,89.1404868216525,84.2666666666667
