"","soc_2010","n_years","n_years_explicit","min_year","max_year","year","lf_total","lf","emp","unemp","male","female","female_share","mean_weekly_earnings","median_weekly_earnings","mean_age","median_age","mean_educ","median_educ"
"80","17-2121",26,26,2000,2025,2012.5,12508.4653769231,12278.2684538462,12028.2784538462,249.99,11809.0649923077,469.203461538462,0.0369852255337343,1493.38461538462,1361.40384615385,45.3184077674462,42.0384615384615,102.416605116207,105.096153846154
"81","17-2131",26,26,2000,2025,2012.5,40636.9488038461,40437.6718807692,39482.5988038462,955.073076923077,33351.5314615385,7086.14041923077,0.161218467417241,1583.34981684982,1353.23076923077,42.460766903367,40.9038461538462,108.015714037292,111.230769230769
"82","17-2141",26,26,2000,2025,2012.5,355922.067473077,355045.239011538,347641.695342308,7403.54366923077,330721.391203846,24323.8478076923,0.068493579345529,1523.80425442175,1428.13461538462,42.3295345297519,41.5192307692308,108.224594343619,111
"83","17-2171",26,26,2000,2025,2012.5,36055.3299153846,35740.2860692308,34995.3076807692,744.978388461538,31425.6713461538,4314.61472307692,0.124406682298116,1840.5021978022,1673.25,43.1685247973838,42.0384615384615,109.106689015829,111
"84","17-2199",26,26,2000,2025,2012.5,463420.964723077,460640.532838461,450557.055257692,10083.4775807692,396850.305276923,63790.2275615385,0.132096993086328,1560.61513854766,1415.82692307692,43.5849277391374,43.1730769230769,109.494588301919,111
"85","17-3010",26,26,2000,2025,2012.5,166243.958388462,165456.989892308,157548.308457692,7908.68143461538,128190.893311538,37266.0965807692,0.222809970868618,1064.07174506892,985.365384615385,41.2604392988308,40.5576923076923,91.471894558127,90.25
"86","17-3020",26,26,2000,2025,2012.5,484469.082034615,479797.580715385,461630.255326923,18167.3253884615,388284.336653846,91513.2440615385,0.187139399657255,1033.40005864238,964.269230769231,42.7617414525004,43.2884615384615,87.4392222441636,82.5384615384615
"87","17-3031",26,26,2000,2025,2012.5,80421.5802461538,79399.0763884615,74247.2238923077,5151.85249615385,71815.8203653846,7583.25602307692,0.102471720296388,945.404594588418,773.730769230769,40.92854679362,39.6730769230769,81.7460954179246,78.9230769230769
"88","19-1010",26,26,2000,2025,2012.5,39975.75345,39617.9342192308,37369.4110769231,2248.52314230769,25513.1147576923,14104.8194615385,0.363867355001454,1172.53353174603,1044.53846153846,42.6200911251859,40.9038461538462,108.644716281762,111.346153846154
"89","19-1020",26,26,2000,2025,2012.5,115215.151153846,114456.94855,111143.776134615,3313.17241538462,61119.30325,53337.6453,0.470024968269504,1113.51665925909,948.923076923077,41.5836912675867,38.9038461538462,117.064815192516,120.230769230769
"90","19-1030",26,26,2000,2025,2012.5,29557.9917846154,29428.0429384615,29014.4552461538,413.587692307692,21849.8568653846,7578.18607307692,0.262611463443632,1185.5731990232,1078.82692307692,44.2805410261228,43.5961538461538,108.963009762511,110.634615384615
"91","19-1040",26,26,2000,2025,2012.5,145411.498988462,145080.525911538,142189.772446154,2890.75346538462,69222.7382115385,75857.7877,0.521474512654793,1359.89452243332,1007.76923076923,41.1145086208232,38.6346153846154,120.183309544524,123.576923076923
"92","19-2010",26,26,2000,2025,2012.5,22096.6522884615,22096.6522884615,21207.7880576923,888.864230769231,17693.0698807692,4403.58240769231,0.166218912182515,1586.99102564103,1393.13461538462,47.1564474866511,45.3461538461538,120.497596372688,122.134615384615
"93","19-2021",26,26,2000,2025,2012.5,8856.68389615385,8856.68389615385,8780.37351153846,76.3103846153846,6856.87969230769,1999.80420384615,0.201791109530037,1461.94102564103,1476.69230769231,43.453070113647,41.2307692307692,113.265570852401,113.769230769231
"94","19-2030",26,26,2000,2025,2012.5,117676.541607692,117338.88665,114240.017411538,3098.86923846154,76239.2797423077,41099.6069076923,0.360047856719325,1509.95892685746,1320.21153846154,42.198504041385,39.7692307692308,114.399207581676,113.076923076923
"95","19-2040",26,26,2000,2025,2012.5,99129.1733653846,98759.3415730769,96811.5075538462,1947.83401923077,68747.3658115385,30011.9757615385,0.308247195933441,1413.56677291725,1311.57692307692,44.0720950137301,42.3269230769231,115.129525385538,115.384615384615
"96","19-2099",23,23,2003,2025,2014,251402.743543478,249102.698634783,243917.761834783,5184.9368,145591.901521739,103510.797113043,0.39736031945059,1593.18569939515,1434.10869565217,41.5023516200952,38.7608695652174,119.910615644755,123.521739130435
"97","19-3011",23,23,2003,2025,2014,31146.0225869565,31139.0460652174,30898.5030217391,240.543043478261,21080.2042130435,10058.8418521739,0.308041430103355,1992.4149068323,1789.36956521739,42.5054182762105,42.4782608695652,119.99801396508,122.847826086957
"98","19-3030",26,26,2000,2025,2012.5,221667.777446154,220534.436676923,218650.967446154,1883.46923076923,61597.4418038462,158936.994873077,0.720303323636268,1213.56911400641,1018.82692307692,47.1805432131476,47.5384615384615,122.332638445803,123.326923076923
"99","19-3051",26,26,2000,2025,2012.5,30878.7511192308,30608.8318884615,30322.9399653846,285.891923076923,18431.2943346154,12177.5375538462,0.380566456688277,1225.16776556777,1094.21153846154,43.1723159868168,40.8461538461538,115.368149004043,117.461538461538
"100","19-3090",26,26,2000,2025,2012.5,54337.5901615385,54036.8082384615,51811.6133769231,2225.19486153846,24944.7636730769,29092.0445653846,0.531121444842035,1225.07661088911,1037.05769230769,41.7397506911662,40.3269230769231,112.750126408635,116.076923076923
"101","19-4011",26,26,2000,2025,2012.5,41506.8599692308,40859.1388153846,39105.0118769231,1754.12693846154,22332.3116230769,18526.8271923077,0.420582919345115,849.675935658544,768.442307692308,41.711594644453,38.0769230769231,85.7419533831107,82.5192307692308
"102","19-4021",23,23,2003,2025,2014,26647.6872956522,26398.240773913,24532.3549956522,1865.88577826087,12535.7109086957,13862.5298652174,0.549427825117936,810.810144927536,676.565217391304,37.6889622346514,34.195652173913,99.1806330350942,98.3913043478261
"103","19-4031",26,26,2000,2025,2012.5,72170.9512230769,71657.1523769231,68524.1188884615,3133.03348846154,46912.6452384615,24744.5071384615,0.345423792071768,990.564593739594,832.942307692308,41.5088424213234,39.5576923076923,90.1431111015552,85.75
"104","19-4041",17,17,2003,2019,2011,23649.34,23641.0505882353,22774.4358823529,866.614705882353,17287.0870588235,6353.96352941177,0.256130224170151,1218.33039215686,1064.88235294118,41.9641317827441,40.4705882352941,92.5068947650868,89.5
"105","19-4090",26,26,2000,2025,2012.5,203668.905876923,200693.969073077,191513.893961538,9180.07511153846,98106.3709615385,102587.598111538,0.501728951051296,840.785162370529,714.384615384615,37.4829488306048,34.2307692307692,95.780724347416,94.1730769230769
"106","21-1010",26,26,2000,2025,2012.5,796282.457588462,788582.610115385,766074.299607693,22508.3105076923,229353.113623077,559229.496492308,0.70097689943372,916.406610657672,836.865384615385,42.9897105589336,41.7115384615385,110.498919398644,117.461538461538
"107","21-1020",26,26,2000,2025,2012.5,824642.443084615,819877.552111539,797178.867353846,22698.6847576923,159649.965980769,660227.586130769,0.804638827338536,904.71249026569,815.384615384615,42.4993972918914,41.7884615384615,108.840010120369,111
"108","21-1092",15,15,2011,2025,2018,98657.15896,98072.43588,95549.8045466667,2522.63133333333,41422.64312,56649.79276,0.558141318176759,1206.42113756614,898.8,42.7448748232315,42.1,107.42809224907,111
"109","21-1093",26,26,2000,2025,2012.5,242351.633926923,239934.656519231,229910.345107692,10024.3114115385,55265.7515192308,184668.905,0.784138100721118,715.304790959085,636.057692307692,42.0808199827495,41.5384615384615,94.1293897459425,97.0576923076923
"110","21-109X",15,15,2011,2025,2018,108076.40298,106384.065353333,101283.319126667,5100.74622666667,31905.0458666667,74479.0194866667,0.703697458099202,938.272714322714,791,42.8248298828799,42.2,101.397137018542,106.466666666667
"111","21-2011",26,26,2000,2025,2012.5,433932.061365385,430807.761938462,426725.220880769,4082.54105769231,354141.122780769,76666.6391576923,0.177761101096367,960.510947145247,836.076923076923,49.3574417012948,50.8653846153846,110.136540074749,118.384615384615
"112","21-2021",23,23,2003,2025,2014,67227.1390826087,66316.0670304348,66074.3044217391,241.762608695652,25498.2794043478,40817.787626087,0.621318662515527,787.130158730159,780.434782608696,45.6779408805682,46.804347826087,104.824131725853,108.5
"113","21-2099",26,26,2000,2025,2012.5,99623.8660653846,98730.2440961539,97375.0781153846,1355.16598076923,37207.9824230769,61522.2616730769,0.635646180646524,630.650482692707,510.692307692308,46.7312060866366,48.3653846153846,99.8613710799964,105.173076923077
