"","occ","n_years","n_years_explicit","min_year","max_year","year","lf_total","lf","emp","unemp","male","female","female_share","mean_weekly_earnings","median_weekly_earnings","mean_age","median_age","mean_educ","median_educ"
"798",3648,15,15,2011,2025,2018,60246.9050333333,59131.62796,57212.8906533333,1918.73730666667,11746.5160266667,47385.1119333333,0.804022742523952,547.428968253968,473.4,33.8846239854953,27.0666666666667,86.3630110326653,80.6
"799",3649,15,15,2011,2025,2018,134349.107453333,132975.432513333,127183.515393333,5791.91712,19226.53006,113748.902453333,0.856686180450732,636.740543530544,582.966666666667,38.6406908248185,35.8,86.362484910593,83
"800",3650,8,8,2003,2010,2006.5,804772.5575,795218.09,757630.345,37587.745,81488.43125,713729.65875,0.897461908828684,462.80474978,430.125,37.7165444641396,36.4375,83.0312588641298,81
"801",3655,15,15,2011,2025,2018,197270.302013333,195556.88424,184574.43804,10982.4462,58352.3818066667,137204.502433333,0.700957271999104,582.152200854701,507.966666666667,40.6853810934119,38.6666666666667,84.210074568347,80.2
"802",3700,23,23,2003,2025,2014,49893.308273913,49716.6038217391,48849.8357869565,866.768034782609,34263.0186173913,15453.5852043478,0.298519642879327,1104.22993443754,950.717391304348,43.9064298460917,44.4347826086956,89.1861079426636,85.0434782608696
"803",3710,23,23,2003,2025,2014,111948.310573913,111703.419004348,110562.1377,1141.28130434783,95663.6953,16039.7237043478,0.141809912106041,1401.15482220803,1205.78260869565,45.9857394815141,46.1739130434783,95.050282273745,92.6304347826087
"804",3720,23,23,2003,2025,2014,51500.9779956522,51080.2710391304,50438.392426087,641.878613043478,47793.8239130435,3286.44712608696,0.0670542428781862,1487.687306896,1281.34782608696,46.3874519367146,46.3913043478261,92.4827513685291,88.0869565217391
"805",3725,6,6,2020,2025,2022.5,79425.7600166667,79425.7600166667,78643.3083666667,782.45165,57487.26475,21938.4952666667,0.269318597116289,1333.26725589226,851.416666666667,45.8424881718823,45.3333333333333,92.2419899334108,86.25
"806",3730,17,17,2003,2019,2011,97648.6964705882,96804.2276470588,92813.5182352941,3990.70941176471,74413.81,22390.4176470588,0.23447825575578,950.835041837248,765.676470588235,45.8099435368817,45.5,90.968725861667,85.2941176470588
"807",3740,23,23,2003,2025,2014,304241.380347826,301980.315008696,293650.207478261,8330.10753043478,285982.14843913,15998.1665695652,0.0512254559809136,1151.98168492367,1033.47826086957,38.8487795905362,37.5217391304348,89.4557387743072,84.0434782608696
"808",3750,23,23,2003,2025,2014,20015.4574043478,19684.1878304348,19558.3952217391,125.792608695652,17585.4399043478,2098.74792608696,0.105501203520781,1030.56811594203,889.021739130435,45.2450893055584,43.195652173913,90.928461951964,87
"809",3800,17,17,2003,2019,2011,439077.613529412,435562.926470588,425792.851176471,9770.07529411765,307235.814705882,128327.111764706,0.292474658492387,821.429939176206,721.558823529412,40.4537695988187,39.5,84.507982050622,81
"810",3801,6,6,2020,2025,2022.5,20815.8763333333,20731.453,19195.0868666667,1536.36613333333,16851.3491,3880.1039,0.19569563614878,472,472,49.3171296296296,44.4166666666667,88.3885861861999,84.6666666666667
"811",3802,6,6,2020,2025,2022.5,313715.28875,312231.13875,309331.893333333,2899.24541666667,222710.8105,89520.32825,0.289002404410349,1003.79848484848,872.833333333333,40.2432202075837,38.4166666666667,86.9451934009333,81
"812",3820,23,23,2003,2025,2014,153339.026495652,152570.703886957,150876.453913043,1694.24997391304,114621.121317391,37949.5825695652,0.256391854889603,1433.95639526284,1233.86956521739,43.1676506162561,42.2391304347826,102.159727414349,109.347826086957
"813",3830,10,10,2003,2012,2007.5,4119.117,3756.825,3455.707,301.118,3040.066,716.759,0.200599741295633,693.8,692.3,42.8033333333333,37.8,102.928783674667,100.45
"814",3840,23,23,2003,2025,2014,14387.0430521739,14212.8934869565,13806.8143043478,406.079182608696,9544.0961,4668.79738695652,0.360528922814445,1111.86956521739,1101.23913043478,40.9070839788231,37.8260869565217,90.7103785717799,85.695652173913
"815",3850,17,17,2003,2019,2011,713957.010588235,710777.838235294,701920.91,8856.92823529412,612395.939411765,98381.8988235294,0.139604496689102,1054.38360780186,914.382352941176,39.6057966092581,38.4411764705882,93.0475607239373,90.8235294117647
"816",3860,10,10,2003,2012,2007.5,4337.82,4337.82,4218.229,119.591,3456.121,881.699,0.198127912260943,798.7,766.3,39.4916666666667,37.65,92.0763230734377,85.9
"817",3870,6,6,2020,2025,2022.5,700599.706966667,698264.136383333,690276.008966667,7988.12741666667,586844.74485,111419.391533333,0.158899477871084,1391.61787648696,1147.58333333333,40.6527626494092,38.4166666666667,96.3216346530477,92
"818",3900,22,22,2003,2025,2013.54545454545,12934.4744772727,12725.9590227273,12472.8240909091,253.134931818182,8048.84116818182,4677.11785454545,0.414095231953052,646.55303030303,611.25,39.6696581196581,35.0681818181818,85.5689752393031,83.0227272727273
"819",3910,23,23,2003,2025,2014,102116.565991304,101034.859469565,97777.4131652174,3257.44630434783,62145.1419608696,38889.7175086956,0.386816901603644,973.836262409088,800.021739130435,43.6673240901721,43.195652173913,98.6634676374981,102.913043478261
"820",3920,8,8,2003,2010,2006.5,952297.3425,938815.83875,855763.2125,83052.62625,724304.135,214511.70375,0.228981201119537,544.182585348293,415.75,41.3988032314969,40,80.2348327414482,79
"821",3930,15,15,2011,2025,2018,1082437.10501333,1068797.35385333,983243.851486666,85553.5023666667,830652.210713333,238145.14314,0.22403004513513,678.4674585776,561.6,42.6079870863642,39.4666666666667,83.5775398151943,81
