"","year","soc_2010_major","lf_total","lf","emp","unemp","male","female","female_share","mean_weekly_earnings","median_weekly_earnings","mean_age","median_age","mean_educ","median_educ"
"379",2014,"39-0000",11506407.7,11282648.76,10546018.01,736630.75,2458283.79,8824364.97,0.782118202711825,438.730870712401,350.5,40.6089926010245,39,81.0281373839381,81
"380",2015,"39-0000",5672246.81000003,5566470.79000003,5260130.73000001,306340.06,1234111.1,4332359.69,0.77829559400239,463.086720867209,367.5,40.5458213256484,40,82.1558902422619,81
"381",2016,"39-0000",5751838.97000001,5684689.26000001,5379634.89000001,305054.37,1291325.87,4393363.39000001,0.772841432321316,462.170212765957,382.5,41.1834209712341,40,81.4536667251358,81
"382",2017,"39-0000",6228740.52999998,6120568.03999997,5823976.12999998,296591.91,1321727.32,4798840.71999999,0.784051527348105,470.64358974359,382,40.9326726901778,39,81.542006253067,81
"383",2018,"39-0000",6033314.87999998,5954804.53999998,5694971.98999999,259832.55,1299683.09,4655121.45000001,0.78174210735723,568.385245901639,421.5,41.6735877862595,40,82.136795257431,81
"384",2019,"39-0000",6243528.65000001,6124831.53000001,5857525.32000001,267306.21,1401274.99,4723556.54000001,0.77121411697017,468.212871287129,388,41.2089867310012,39,82.4645333436624,81
"385",2020,"39-0000",5700973.47320002,5604351.61190002,5255181.87510001,349169.7368,1206959.0223,4397392.5896,0.784638954533616,503.556547619048,436,42.3121431290445,41,83.5376341491138,81
"386",2021,"39-0000",5371603.07930001,5298640.12820001,4840854.37900001,457785.7492,1205367.0772,4093273.051,0.772513881290996,553.650557620818,481,41.8731141199226,40,83.9305699149782,81
"387",2022,"39-0000",5464715.90000001,5402498.54000001,5170613.64,231884.9,1138655.54,4263843,0.789235382190404,574.347517730496,500,41.8405207485761,39,82.4817205096366,81
"388",2023,"39-0000",5736997.70000001,5648037.80000001,5429310.69,218727.11,1239196.28,4408841.52000001,0.780597027874,606.984251968504,563,42.2157275021026,40,83.7619407876485,81
"389",2024,"39-0000",5974846.81000002,5897698.87000001,5665925.51000001,231773.36,1347987.18,4549711.69,0.77143845257057,606.984251968504,563,42.6194726166329,40,83.8212204618712,81
"390",2025,"39-0000",6166519.64,6040283.08999999,5778650.91999999,261632.17,1364385.98,4675897.10999999,0.774118868326087,606.984251968504,563,42.8887494772062,40,84.2850379418227,81
"391",2000,"41-0000",16422240.16,16125752.4,15437209.85,688542.55,8219008.78999999,7906743.61,0.490317810535154,592.428046989721,450,39.1221647433347,38,85.328245735684,81
"392",2001,"41-0000",16583705.8900001,16325002.4800001,15664761.5500001,660240.93,8201783.35999998,8123219.12,0.497593744929098,621.835299073294,460.5,38.531567366283,38,84.9165952947528,81
"393",2002,"41-0000",16524647.15,16242077.4,15248955.49,993121.91,8247155.43,7994921.97000002,0.492235184767683,642.568741603224,473,38.7791220186657,39,85.363634938102,81
"394",2003,"41-0000",16546526.29,16339405.88,15354652.81,984753.069999999,8489538.31999999,7849867.55999998,0.480425519608917,606.997187060478,425,39.3707009713836,39,85.1454295791081,81
"395",2004,"41-0000",16594919.07,16369472.32,15399103.22,970369.1,8444929.14,7924543.18000001,0.484104986714685,659.86981981982,484,39.2961245735281,39,85.5325959670277,81
