,id,label,u_perc_change,ltu_perc_change
453,453,"conveyor operators and tenders, and hoist and winch operators",26.810050023854693,48.873868043445356
454,454,crane and tower operators,52.77278445089496,173.94935691295123
455,455,"dredge, excavating, and loading machine operators",34.64435728528435,100.78296434391561
456,456,industrial truck and tractor operators,60.70878592348858,135.54576204125388
457,457,cleaners of vehicles and equipment,2.005541590449596,8.00482964264118
458,458,"laborers and freight, stock, and material movers, hand",31.731926295580816,45.40786936019909
459,459,machine feeders and offbearers,65.261302032479,172.6315584809191
460,460,"packers and packagers, hand",7.983277709274212,24.663840975146382
461,461,pumping station operators,40.63398730378232,85.19633501575098
462,462,refuse and recyclable material collectors,55.14974982300552,110.94877165139019
463,463,"miscellaneous material moving workers, including mine shuttle car operators, and tank car, truck, and ship loaders",0.8225876405123149,6.210426622176754
