,id,label,u_perc_change,ltu_perc_change
65,65,"computer occupations, all other",-3.196780952912606,-8.293653899907232
66,66,actuaries,-2.921006540647936,-7.692061178300639
67,67,"miscellaneous mathematical science occupations, including mathematicians and statisticians",-2.545796556054973,-6.873553058016478
68,68,operations research analysts,-3.1560913846103245,-8.204890957997858
69,69,"architects, except naval",-3.1602441718597856,-8.213950125464452
70,70,"surveyors, cartographers, and photogrammetrists",-1.2105396325268865,-5.063990008425752
71,71,aerospace engineers,-3.177247934638632,-8.251043269254442
72,72,biomedical and agricultural engineers,-2.836475671379013,-7.507659894346949
73,73,chemical engineers,-3.1772479346388645,-8.251043269254549
74,74,civil engineers,-3.1749216071010458,-8.245968462990758
75,75,computer hardware engineers,-2.9057191234317736,-7.658712185354576
76,76,electrical and electronics engineers,-3.122787083494785,-8.1322387311841
77,77,environmental engineers,-3.1760855249734994,-8.248507511174697
78,78,"industrial engineers, including health and safety",-3.1637886007977785,-8.221682179478549
79,79,marine engineers and naval architects,-3.1853428176253606,-8.268701987650354
80,80,materials engineers,-3.1725892349776923,-8.240880470663939
81,81,mechanical engineers,-3.1841908838052224,-8.266189082278494
82,82,"petroleum, mining and geological engineers, including mining safety engineers",-3.008178783429302,-7.88222453084939
83,83,"miscellaneous engineers, including nuclear engineers",-3.147728377339234,-8.186647335380115
84,84,drafters,0.5841868839206203,-3.4517579266024865
85,85,"engineering technicians, except drafters",-2.5436707157911673,-6.868915608082467
86,86,surveying and mapping technicians,28.8540285592111,22.130801983260515
87,87,agricultural and food scientists,-3.134429585260719,-8.157636462127462
88,88,biological scientists,-3.0901549142435254,-8.061052737710067
89,89,conservation scientists and foresters,-3.182979751934547,-8.263547038325884
90,90,"medical scientists, and life scientists, all other",-3.0724270852310993,-8.022380067478743
91,91,astronomers and physicists,-3.1128677171256824,-8.110599962882374
92,92,atmospheric and space scientists,0.5841868839206855,-3.4517579266025873
93,93,chemists and materials scientists,-3.125250392208513,-8.13761235733427
94,94,environmental scientists and geoscientists,-2.896954574668835,-7.639592613307773
95,95,"physical scientists, all other",-2.522205454499942,-6.822089853458367
96,96,economists,-2.5222054544997397,-6.822089853458294
97,97,"miscellaneous social scientists, including survey researchers and sociologists",-3.0050538522256813,-7.875407597210821
98,98,psychologists,-3.188789720668553,-8.27622129216418
99,99,urban and regional planners,-3.0356111143251514,-7.942067249643286
100,100,agricultural and food science technicians,30.47987712181274,23.61506235824958
101,101,biological technicians,-2.7746872061229366,-7.3728704094485105
102,102,chemical technicians,-2.1761799030605276,-6.0672466048540405
103,103,"geological and petroleum technicians, and nuclear technicians",17.91055151604514,12.173405542924662
104,104,"miscellaneous life, physical, and social science technicians, including social science research assistants",-2.380394968518531,-6.512734987960882
105,105,counselors,-3.1807955701853627,-8.258782318378863
106,106,social workers,-3.183575911300012,-8.264847540182558
107,107,"miscellaneous community and social service specialists, including health educators and community health workers",-3.144120580591083,-8.178777046592629
108,108,probation officers and correctional treatment specialists,-2.858456973730634,-7.555611375405405
109,109,social and human service assistants,-3.0356111143250666,-7.942067249643241
110,110,clergy,-3.1875274031317664,-8.273467588380488
111,111,"directors, religious activities and education",-3.1679062624928114,-8.230664721714536
112,112,"lawyers, and judges, magistrates, and other judicial workers",-2.802632089921888,-7.43383124537778
113,113,judicial law clerks,-2.5647628127422575,-6.914927317091282
114,114,paralegals and legal assistants,25.796112320585628,19.34276335009155
115,115,miscellaneous legal support workers,5.265417332382043,0.7469868603428761
116,116,postsecondary teachers,-3.1967809529125177,-8.29365389990725
117,117,preschool and kindergarten teachers,-3.10258920642769,-8.088177733154296
118,118,elementary and middle school teachers,-3.015385755878152,-7.897946301895884
119,119,secondary school teachers,-3.1872976986243184,-8.272966495626038
120,120,special education teachers,-3.183210570342536,-8.26405056101722
121,121,other teachers and instructors,-2.994168793643535,-7.851662203417816
122,122,"archivists, curators, and museum technicians",-2.4730178039115818,-6.71478862727204
123,123,librarians,-0.385004776075828,-4.320499646887166
124,124,library technicians,33.968971713476336,26.80664133126995
125,125,"other education, training, and library workers",-3.0303221820806394,-7.930529619602549
126,126,teacher assistants,-2.204107677576699,-6.1281701174512015
127,127,artists and related workers,-3.1634937620240935,-8.221038998485794
128,128,designers,-3.076369719559803,-8.030980793327892
129,129,actors,-2.6455876368237297,-7.091243986549996
130,130,producers and directors,-3.171420774829163,-8.238331513656053
131,131,"athletes, coaches, umpires, and related workers",-2.5344154975921693,-6.848725656956255
132,132,dancers and choreographers,-3.1172205162196804,-8.12009544954521
133,133,"musicians, singers, and related workers",-3.144722871673682,-8.180090924586397
134,134,announcers,-2.5647628127424604,-6.914927317091461
135,135,"news analysts, reporters and correspondents",-3.09015491424356,-8.061052737710062
136,136,public relations specialists,-2.9655398806487465,-7.7892091805147965
137,137,editors,-3.131990743192976,-8.152316209152774
138,138,technical writers,19.10702397336304,13.25931660995511
139,139,writers and authors,-3.1525166554497432,-8.197092805054535
140,140,miscellaneous media and communication workers,-2.62589495404078,-7.048285053073347
141,141,"broadcast and sound engineering technicians and radio operators, and media and communication equipment workers, all other",-2.056831936993369,-5.852358499151719
142,142,photographers,-3.1725892349776856,-8.24088047066398
143,143,"television, video, and motion picture camera operators and editors",-2.466843248346044,-6.70131903936893
144,144,chiropractors,-3.1655556145830097,-8.225536861366605
145,145,dentists,-3.1849590052090315,-8.26786471361097
146,146,dietitians and nutritionists,-3.192337562019264,-8.28396079024332
147,147,optometrists,-3.0219915112988147,-7.912356537962
148,148,pharmacists,-3.183037462126524,-8.26367293119307
149,149,physicians and surgeons,-3.196780952912456,-8.293653899907182
150,150,physician assistants,-3.0219915112986646,-7.912356537961904
151,151,podiatrists,-3.191537672344841,-8.282215857483557
152,152,occupational therapists,-3.1927943189010026,-8.284957190211612
153,153,physical therapists,-3.1725892349777016,-8.240880470664122
154,154,radiation therapists,-2.7027294069954437,-7.215896860443453
155,155,recreational therapists,-3.193593078965963,-8.286699658765551
156,156,respiratory therapists,-3.1184604282660886,-8.122800276495253
157,157,speech-language pathologists,-3.189477504303242,-8.277721669321213
158,158,"other therapists, including exercise physiologists",-3.1967809529124547,-8.293653899907294
159,159,veterinarians,-3.152516655449529,-8.197092805054321
160,160,registered nurses,-3.196780952912426,-8.293653899907142
161,161,nurse anesthetists,-3.19678095291251,-8.293653899907246
162,162,nurse practitioners and nurse midwives,-3.196780952912563,-8.293653899907234
163,163,audiologists,-3.1930226093431746,-8.285455198229235
164,164,"health diagnosing and treating practitioners, all other",-3.173756178084021,-8.24342611829514
165,165,clinical laboratory technologists and technicians,1.3924315483611016,-2.7278600769738883
166,166,dental hygienists,1.1163698896958607,-2.9751191854440004
167,167,diagnostic related technologists and technicians,-2.879726835681356,-7.602010872857077
168,168,emergency medical technicians and paramedics,-3.1392879064058867,-8.168234728355555
169,169,health practitioner support technologists and technicians,-2.841672760796644,-7.518997172310702
170,170,licensed practical and licensed vocational nurses,-3.12832030572882,-8.144309271723673
171,171,medical records and health information technicians,21.634960846295538,15.555989348799077
172,172,"opticians, dispensing",2.8859159732964357,-1.3894417877038727
173,173,miscellaneous health technologists and technicians,-3.1927943189012913,-8.28495719021182
174,174,other healthcare practitioners and technical occupations,-3.018740095244395,-7.90526368182222
175,175,"nursing, psychiatric, and home health aides",-2.5222054544997814,-6.822089853458224
176,176,occupational therapy assistants and aides,-3.0095688638216793,-7.885256945059597
177,177,physical therapist assistants and aides,-2.7500273230933057,-7.3190756935990935
178,178,massage therapists,-2.258321133506673,-6.246434971078798
179,179,dental assistants,-2.3357705698937066,-6.415388344382176
180,180,medical assistants,-2.7746872061228856,-7.372870409448328
181,181,"healthcare support workers, all other, including medical equipment preparers",7.988541059350328,3.1982616173531087
