"","date","ue","eu","ee","en","un","ne","nu","u","Etotal","Utotal","LFtotal","NILFtotal","EEtotal","ENtotal","EUtotal","UEtotal","UNtotal","NEtotal","NUtotal","EE","EU","EN","UE","UN","NE","NU"
"34","1998-10-01",0.28571523672023,0.0112758178150075,0.0243788778412149,0,0,0,0,0.041514603233079,96526765.3181993,4180836.11610001,100707601.4343,50702342.5028003,2353214.2201,0,1088418.22,1194528.5806,0,0,0,0.0233667984003691,0.010807706712289,0,0.0118613546900856,0,0,0
"35","1998-11-01",0.256859330771179,0.0118743872802068,0.0230983036268552,0,0,0,0,0.0422292776045613,96216732.4796993,4242312.91589999,100459045.395599,50998113.4821001,2222443.3008,0,1142514.7443,1089677.6565,0,0,0,0.0221228789508023,0.0113729404833669,0,0.010846983984458,0,0,0
"36","1998-12-01",0.257046928429739,0.0161495934077873,0.0255814704109312,0,0,0,0,0.0395107564501124,95760086.0993992,3939193.9732,99699280.072599,51013997.7707,2449683.8091,0,1546486.4552,1012557.7113,0,0,0,0.0245707271638891,0.0155115107558839,0,0.0101561185854369,0,0,0
"37","1999-01-01",0.299837711875503,0.0118831281559548,0.0256599429784792,0,0,0,0,0.0473138371383632,94991131.0966003,4717602.7967,99708733.8933003,51716861.8162003,2437467.0074,0,1128791.7845,1414515.2281,0,0,0,0.0244458726154157,0.0113208917656896,0,0.014186472667617,0,0,0
"38","1999-02-01",0.307235101986056,0.0102781976272348,0.0251259753458116,0,0,0,0,0.0477784587321326,94648641.9877994,4749069.4542,99397711.4419995,51296194.7493,2378139.4451,0,972817.447499999,1459080.8381,0,0,0,0.0239254949696472,0.00978712118606128,0,0.0146792196413033,0,0,0
"39","1999-03-01",0.315708978803907,0.0116688266433114,0.0285218679863105,1,1,0,0,0.0449407275129821,94673147.5124989,4454885.94030001,99128033.452799,51589467.3022999,2700255.0152,94673147.5124989,1104724.5461,1406447.4909,4454885.94030001,0,0,0.0272400744889765,0.0111444210847381,0.955059272487017,0.0141881911898282,0.0449407275129821,0,0
"40","1999-04-01",0.315780896335405,0.0111813062555511,0.024757876458245,0,0,0,0,0.0424101657541118,95394088.6442008,4224855.9526,99618944.5968007,51739285.7108998,2361755.0615,0,1066630.5201,1334128.7996,0,0,0,0.0237078908139311,0.0107071052039057,0,0.0133923201555665,0,0,0
"41","1999-05-01",0.324493156802082,0.0115982195784592,0.0288285942519693,0,0,0,0,0.0405845443617231,95798612.4839002,4052408.17760001,99851020.6615007,51861128.5107,2761739.3292,0,1111093.3429,1314978.7222,0,0,0,0.027658598889664,0.0111275111214602,0,0.0131694069173097,0,0,0
"42","1999-06-01",0.34027252142182,0.0132849085347556,0.0315482801933019,0,0,0,0,0.0454828185772552,96126168.9201006,4580419.49019999,100706588.4103,49933800.7912004,3032615.311,0,1277027.3619,1558590.8891,0,0,0,0.0301133754888456,0.0126806734500539,0,0.0154765533586538,0,0,0
"43","1999-07-01",0.315087627209484,0.0116377490716397,0.0282909999242594,0,0,0,0,0.0448589287354903,97585733.3071011,4583188.3768,102168921.683901,50071460.5188001,2760797.9736,0,1135678.2772,1444105.9507,0,0,0,0.0270218959748014,0.0111156921153936,0,0.014134493414425,0,0,0
