"","occ_code","occ_title","occ_group","tot_emp","emp_prse","year"
"10733","51-6092","Fabric and Apparel Patternmakers","detailed",6500,9.2,2012
"10734","51-6093","Upholsterers","detailed",27840,3.3,2012
"10735","51-6099","Textile, Apparel, and Furnishings Workers, All Other","detailed",14080,6,2012
"10736","51-7000","Woodworkers","minor",200680,1.2,2012
"10737","51-7010","Cabinetmakers and Bench Carpenters","broad",78140,1.6,2012
"10738","51-7011","Cabinetmakers and Bench Carpenters","detailed",78140,1.6,2012
"10739","51-7020","Furniture Finishers","broad",13740,3.5,2012
"10740","51-7021","Furniture Finishers","detailed",13740,3.5,2012
"10741","51-7030","Model Makers and Patternmakers, Wood","broad",2030,10.9,2012
"10742","51-7031","Model Makers, Wood","detailed",1270,16.6,2012
"10743","51-7032","Patternmakers, Wood","detailed",770,9.2,2012
"10744","51-7040","Woodworking Machine Setters, Operators, and Tenders","broad",99830,1.9,2012
"10745","51-7041","Sawing Machine Setters, Operators, and Tenders, Wood","detailed",38720,2.3,2012
"10746","51-7042","Woodworking Machine Setters, Operators, and Tenders, Except Sawing","detailed",61110,2.7,2012
"10747","51-7090","Miscellaneous Woodworkers","broad",6940,8.3,2012
"10748","51-7099","Woodworkers, All Other","detailed",6940,8.3,2012
"10749","51-8000","Plant and System Operators","minor",308150,1,2012
"10750","51-8010","Power Plant Operators, Distributors, and Dispatchers","broad",60070,2.6,2012
"10751","51-8011","Nuclear Power Reactor Operators","detailed",7140,7.7,2012
"10752","51-8012","Power Distributors and Dispatchers","detailed",11590,4.8,2012
"10753","51-8013","Power Plant Operators","detailed",41350,2.9,2012
"10754","51-8020","Stationary Engineers and Boiler Operators","broad",36350,3,2012
"10755","51-8021","Stationary Engineers and Boiler Operators","detailed",36350,3,2012
"10756","51-8030","Water and Wastewater Treatment Plant and System Operators","broad",108440,1.1,2012
"10757","51-8031","Water and Wastewater Treatment Plant and System Operators","detailed",108440,1.1,2012
"10758","51-8090","Miscellaneous Plant and System Operators","broad",103280,2.1,2012
"10759","51-8091","Chemical Plant and System Operators","detailed",38170,3.7,2012
"10760","51-8092","Gas Plant Operators","detailed",12380,3.6,2012
"10761","51-8093","Petroleum Pump System Operators, Refinery Operators, and Gaugers","detailed",41020,3.7,2012
"10762","51-8099","Plant and System Operators, All Other","detailed",11710,3,2012
"10763","51-9000","Other Production Occupations","minor",2397100,0.5,2012
"10764","51-9010","Chemical Processing Machine Setters, Operators, and Tenders","broad",97460,1.8,2012
"10765","51-9011","Chemical Equipment Operators and Tenders","detailed",56030,2.4,2012
"10766","51-9012","Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders","detailed",41430,2.7,2012
"10767","51-9020","Crushing, Grinding, Polishing, Mixing, and Blending Workers","broad",177000,1.6,2012
"10768","51-9021","Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders","detailed",29320,2.4,2012
"10769","51-9022","Grinding and Polishing Workers, Hand","detailed",30470,2.6,2012
"10770","51-9023","Mixing and Blending Machine Setters, Operators, and Tenders","detailed",117210,2.2,2012
"10771","51-9030","Cutting Workers","broad",70300,1.8,2012
"10772","51-9031","Cutters and Trimmers, Hand","detailed",13740,3.2,2012
"10773","51-9032","Cutting and Slicing Machine Setters, Operators, and Tenders","detailed",56560,2.1,2012
"10774","51-9040","Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders","broad",68080,2.5,2012
"10775","51-9041","Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders","detailed",68080,2.5,2012
"10776","51-9050","Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders","broad",20140,3.1,2012
"10777","51-9051","Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders","detailed",20140,3.1,2012
"10778","51-9060","Inspectors, Testers, Sorters, Samplers, and Weighers","broad",454010,0.7,2012
"10779","51-9061","Inspectors, Testers, Sorters, Samplers, and Weighers","detailed",454010,0.7,2012
"10780","51-9070","Jewelers and Precious Stone and Metal Workers","broad",22060,3.9,2012
"10781","51-9071","Jewelers and Precious Stone and Metal Workers","detailed",22060,3.9,2012
"10782","51-9080","Medical, Dental, and Ophthalmic Laboratory Technicians","broad",78400,1.9,2012
"10783","51-9081","Dental Laboratory Technicians","detailed",36790,2.5,2012
"10784","51-9082","Medical Appliance Technicians","detailed",12230,4.4,2012
"10785","51-9083","Ophthalmic Laboratory Technicians","detailed",29380,3.9,2012
