X.1,year,SOC_minor,lf_total,lf,emp,unemp,male,female,female_share,mean_weekly_earnings,median_weekly_earnings,mean_age,median_age,mean_educ,median_educ,id,h_mean,a_mean,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,mu,sigma
27,2012,27-3000,860073.93,849812.360000001,804454.690000001,45357.67,362046.21,487766.15,0.573969234808493,1063.01408450704,952,43.2074074074074,44,106.117710843838,111,27,32.48583333333333,67572.5,14.075833333333334,19.66,27.738333333333333,38.858333333333334,53.97666666666667,29280,40894.166666666664,57693.333333333336,80821.66666666667,112270.83333333333,10.958993865540801,0.5201705531447881
28,2012,27-4000,337824.58,334850.49,302800.75,32049.74,244501.81,90348.68,0.269817971596816,826.461538461538,593,39.0261780104712,36,95.8520845825849,92,28,27.115000000000002,56400.833333333336,11.455833333333333,15.350833333333334,22.309166666666666,33.6625,47.45333333333333,23827.5,31926.666666666668,46401.666666666664,70016.66666666667,98702.5,10.770247467892123,0.5605039144270937
29,2012,29-1000,1692408.3,1681100.03,1654731.35,26368.68,936569.95,744530.08,0.442882676053489,1699.37908496732,1519,45.7626811594203,46,119.599444727867,124,29,49.7725,103527.5,25.42,30.506666666666668,39.22083333333333,55.71666666666667,87.55666666666667,52874.166666666664,63452.5,81580.83333333333,115890,182120,11.403176898154229,0.47471239666058784
30,2012,29-2000,2464567.2,2448553.92,2340207.09,108346.83,477399.08,1971154.84,0.805028153106794,763.013333333333,720,41.4052631578947,41,90.917869650181,91,30,23.175833333333333,48206.666666666664,13.190833333333334,16.395833333333332,21.338333333333335,28.175,36.1875,27440,34102.5,44385.833333333336,58602.5,75270,10.712985649888939,0.39535415324759254
31,2012,29-9000,64193.81,64193.81,64193.81,0,23575.99,40617.82,0.632737330904646,1063.33333333333,830.5,40.6382978723404,37,102.780500487508,111,31,29.836666666666666,62060.833333333336,15.325833333333334,19.916666666666668,27.325,37.145,47.79333333333334,31879.166666666668,41427.5,56835.833333333336,77260.83333333333,99410,10.942256174234887,0.4476873566610279
32,2012,31-1000,2312591.21,2289891.01,2101160.39,188730.62,270421.27,2019469.74,0.881906488641134,411.399061032864,390.5,40.5857431069267,41,78.1848800917384,73,32,12.44,25878.571428571428,8.911428571428571,10.087142857142858,11.758571428571429,14.23,17.292857142857144,18535.714285714286,20980,24457.14285714286,29597.14285714286,35974.28571428572,10.133889982922947,0.2579257055548636
33,2012,31-2000,101866.38,101866.38,91871.51,9994.87,30360.44,71505.94,0.701958192683396,582.4,267.5,36.2063492063492,29,94.4722479585512,92,33,24.08,50088.333333333336,11.524166666666666,15.101666666666667,24.58416666666667,30.905833333333334,36.94,23972.5,31410,51136.666666666664,64283.333333333336,76836.66666666667,10.720458837691423,0.4710247941039197
34,2012,31-9000,1508962.76,1486477.8,1396334.96,90142.84,150311.21,1336166.59,0.898880958733457,514.2,500,38.3612288135593,36,84.7632560405546,81,34,17.683333333333334,36779.166666666664,11.78,13.896666666666667,16.8075,20.316666666666666,24.614166666666666,24498.333333333332,28906.666666666668,34956.666666666664,42254.166666666664,51199.166666666664,10.46699783105586,0.2862503614333247
35,2012,33-1000,321239.17,321239.17,317200.56,4038.61,251329.11,69910.06,0.217626200441248,1140.13513513514,1106,46.127358490566,47,91.8322886651713,91,35,36.346666666666664,75599.16666666667,18.128333333333334,24.191666666666666,33.85333333333333,46.034166666666664,58.80166666666666,37705.833333333336,50322.5,70415.83333333333,95754.16666666667,122308.33333333333,11.141958193227806,0.4629646083387676
36,2012,33-2000,320669.82,317693.83,307500.96,10192.87,301283.64,16410.19,0.0516541035751308,1038.18181818182,1000,40.3809523809524,38,89.3784180196386,81,36,25.585833333333333,53216.666666666664,12.306666666666667,16.6275,23.991666666666667,32.4,41.240833333333335,25595,34584.166666666664,49897.5,67389.16666666667,85777.5,10.77935625801049,0.47675361802961846
37,2012,33-3000,1222192.61,1210650.12,1175823.92,34826.2,1009875.18,200774.94,0.165840598107734,1123.29411764706,920,40.9734513274336,40,92.1058161543814,91,37,29.45916666666667,61270.833333333336,16.08416666666667,19.975833333333334,26.93916666666667,36.79,46.56166666666667,33456.666666666664,41548.333333333336,56030,76522.5,96848.33333333333,10.942500626005252,0.4229426173730035
38,2012,33-9000,1489709.62,1452712.27,1258246.43,194465.84,1054129.17,398583.1,0.274371675817125,628.597014925373,480,42.2303370786517,40,83.4767370692067,81,38,15.613333333333333,32475,9.813333333333333,11.389166666666666,13.776666666666667,18.0225,23.743333333333332,20410,23688.333333333332,28655.833333333332,37486.666666666664,49385,10.319754622399032,0.34377341791136723
39,2012,35-1000,949683.939999999,945748.959999999,889118.119999999,56630.84,579315.55,366433.41,0.387453146128757,598.221052631579,480.5,38.525641025641,36,79.7575590038186,81,39,18.309166666666666,38084.166666666664,10.868333333333334,12.936666666666667,16.390833333333333,22.048333333333332,28.531666666666666,22604.166666666668,26905.833333333332,34090,45860,59343.333333333336,10.477438183188907,0.38063800546015825
40,2012,35-2000,3123553.49,3099261.31000001,2764303.39,334957.92,1751596.72,1347664.59,0.434834128265228,340.222641509434,312,36.4755102040816,33,69.5311934313791,73,40,12.599166666666667,26204.166666666668,8.9591666666666665,10.253333333333334,12.0175,14.275,17.121666666666666,18634.166666666668,21331.666666666668,24992.5,29690.833333333332,35613.333333333336,10.141220022077768,0.251061478587514
41,2012,35-3000,3667358.44,3595003.95,3234589.41,360414.54,1144875.96,2450127.99,0.681536939618661,365.104956268222,310,32.4460028050491,27,78.3290831154719,81,41,11.755,24450,8.5025,9.373333333333333,10.749166666666667,12.556666666666667,16.245833333333334,17685.833333333332,19493.333333333332,22355,26118.333333333332,33790.833333333336,10.054297986137518,0.24484720388828254
42,2012,35-9000,982698.8,968606.47,843026.68,125579.79,598786.56,369819.91,0.381806152915745,305.794117647059,260,32.4473684210526,25,68.7691040820737,73,42,11.496666666666666,23911.666666666668,8.650833333333333,9.600833333333334,11.016666666666666,12.5525,14.875,17991.666666666668,19970.833333333332,22913.333333333332,26111.666666666668,30938.333333333332,10.049811026077174,0.20873153300285388
