"","year","occ_code"
"699",2000,"53-3032"
"700",2000,"53-3033"
"701",2000,"53-3041"
"702",2000,"53-4011"
"703",2000,"53-4012"
"704",2000,"53-4013"
"705",2000,"53-4021"
"706",2000,"53-4031"
"707",2000,"53-4041"
"708",2000,"53-5011"
"709",2000,"53-5021"
"710",2000,"53-5022"
"711",2000,"53-5031"
"712",2000,"53-6011"
"713",2000,"53-6021"
"714",2000,"53-6031"
"715",2000,"53-6041"
"716",2000,"53-6051"
"717",2000,"53-7011"
"718",2000,"53-7021"
"719",2000,"53-7031"
"720",2000,"53-7032"
"721",2000,"53-7033"
"722",2000,"53-7041"
"723",2000,"53-7051"
"724",2000,"53-7061"
"725",2000,"53-7062"
"726",2000,"53-7063"
"727",2000,"53-7064"
"728",2000,"53-7071"
"729",2000,"53-7072"
"730",2000,"53-7073"
"731",2000,"53-7081"
"732",2000,"53-7111"
"733",2000,"53-7121"
"734",2001,"00-0000"
"735",2001,"11-0000"
"736",2001,"11-1011"
"737",2001,"11-1021"
"738",2001,"11-1031"
"739",2001,"11-2011"
"740",2001,"11-2021"
"741",2001,"11-2022"
"742",2001,"11-2031"
"743",2001,"11-3011"
"744",2001,"11-3021"
"745",2001,"11-3031"
"746",2001,"11-3040"
"747",2001,"11-3051"
"748",2001,"11-3061"
"749",2001,"11-3071"
"750",2001,"11-9011"
"751",2001,"11-9021"
"752",2001,"11-9031"
"753",2001,"11-9032"
"754",2001,"11-9033"
"755",2001,"11-9041"
"756",2001,"11-9051"
"757",2001,"11-9061"
"758",2001,"11-9071"
"759",2001,"11-9081"
"760",2001,"11-9111"
"761",2001,"11-9121"
"762",2001,"11-9131"
"763",2001,"11-9141"
"764",2001,"11-9151"
"765",2001,"13-0000"
"766",2001,"13-1011"
"767",2001,"13-1021"
"768",2001,"13-1022"
"769",2001,"13-1023"
"770",2001,"13-1031"
"771",2001,"13-1032"
"772",2001,"13-1041"
"773",2001,"13-1051"
"774",2001,"13-1061"
"775",2001,"13-1071"
"776",2001,"13-1072"
"777",2001,"13-1073"
"778",2001,"13-1111"
"779",2001,"13-1121"
"780",2001,"13-2011"
"781",2001,"13-2021"
"782",2001,"13-2031"
"783",2001,"13-2041"
"784",2001,"13-2051"
"785",2001,"13-2052"
"786",2001,"13-2053"
"787",2001,"13-2061"
"788",2001,"13-2071"
"789",2001,"13-2072"
"790",2001,"13-2081"
"791",2001,"13-2082"
"792",2001,"15-0000"
"793",2001,"15-1011"
"794",2001,"15-1021"
"795",2001,"15-1031"
"796",2001,"15-1032"
"797",2001,"15-1041"
"798",2001,"15-1051"
"799",2001,"15-1061"
"800",2001,"15-1071"
"801",2001,"15-1081"
"802",2001,"15-2011"
"803",2001,"15-2021"
"804",2001,"15-2031"
"805",2001,"15-2041"
"806",2001,"15-2091"
"807",2001,"17-0000"
"808",2001,"17-1011"
"809",2001,"17-1012"
"810",2001,"17-1021"
"811",2001,"17-1022"
"812",2001,"17-2011"
"813",2001,"17-2021"
"814",2001,"17-2031"
"815",2001,"17-2041"
"816",2001,"17-2051"
"817",2001,"17-2061"
"818",2001,"17-2071"
"819",2001,"17-2072"
"820",2001,"17-2081"
"821",2001,"17-2111"
"822",2001,"17-2112"
"823",2001,"17-2121"
"824",2001,"17-2131"
"825",2001,"17-2141"
"826",2001,"17-2151"
"827",2001,"17-2161"
"828",2001,"17-2171"
"829",2001,"17-3011"
"830",2001,"17-3012"
"831",2001,"17-3013"
"832",2001,"17-3021"
"833",2001,"17-3022"
"834",2001,"17-3023"
"835",2001,"17-3024"
"836",2001,"17-3025"
"837",2001,"17-3026"
"838",2001,"17-3027"
"839",2001,"17-3031"
"840",2001,"19-0000"
"841",2001,"19-1010"
"842",2001,"19-1021"
"843",2001,"19-1022"
"844",2001,"19-1023"
"845",2001,"19-1031"
"846",2001,"19-1032"
"847",2001,"19-1041"
"848",2001,"19-1042"
"849",2001,"19-2011"
"850",2001,"19-2012"
"851",2001,"19-2021"
"852",2001,"19-2031"
"853",2001,"19-2032"
"854",2001,"19-2041"
"855",2001,"19-2042"
"856",2001,"19-2043"
"857",2001,"19-3011"
"858",2001,"19-3021"
"859",2001,"19-3022"
"860",2001,"19-3031"
"861",2001,"19-3032"
"862",2001,"19-3041"
"863",2001,"19-3051"
"864",2001,"19-3091"
"865",2001,"19-3092"
"866",2001,"19-3093"
"867",2001,"19-3094"
"868",2001,"19-4011"
"869",2001,"19-4021"
"870",2001,"19-4031"
"871",2001,"19-4041"
"872",2001,"19-4051"
"873",2001,"19-4091"
"874",2001,"19-4092"
"875",2001,"19-4093"
"876",2001,"21-0000"
"877",2001,"21-1011"
"878",2001,"21-1012"
"879",2001,"21-1013"
"880",2001,"21-1014"
"881",2001,"21-1015"
"882",2001,"21-1021"
"883",2001,"21-1022"
"884",2001,"21-1023"
"885",2001,"21-1091"
"886",2001,"21-1092"
"887",2001,"21-1093"
"888",2001,"21-2011"
"889",2001,"21-2021"
"890",2001,"23-0000"
"891",2001,"23-1011"
"892",2001,"23-1021"
"893",2001,"23-1022"
"894",2001,"23-1023"
"895",2001,"23-2011"
"896",2001,"23-2091"
"897",2001,"23-2092"
"898",2001,"23-2093"
"899",2001,"25-0000"
"900",2001,"25-1011"
"901",2001,"25-1021"
"902",2001,"25-1022"
"903",2001,"25-1031"
"904",2001,"25-1032"
"905",2001,"25-1041"
"906",2001,"25-1042"
"907",2001,"25-1043"
"908",2001,"25-1051"
"909",2001,"25-1052"
"910",2001,"25-1053"
"911",2001,"25-1054"
"912",2001,"25-1061"
"913",2001,"25-1062"
"914",2001,"25-1063"
"915",2001,"25-1064"
"916",2001,"25-1065"
"917",2001,"25-1066"
"918",2001,"25-1067"
"919",2001,"25-1071"
"920",2001,"25-1072"
"921",2001,"25-1081"
"922",2001,"25-1082"
"923",2001,"25-1111"
"924",2001,"25-1112"
"925",2001,"25-1113"
"926",2001,"25-1121"
"927",2001,"25-1122"
"928",2001,"25-1123"
