DATE,GDPC1,REALGDP,FD_REALGDP,log_REALGDP,log_Trend,log_Cycle,Trend,Cycle,scaled_log_Cycle
2005-07-01,16047.587,16047.587,124.80500000000029,13.97006876195322,14.923501977571506,1.0465667843817137,1114038.1864602598,1.047668044594805,0.9307070961014157
2005-10-01,16136.734,16136.734,89.14700000000084,13.978060992935971,14.931663838391373,1.0463971545445983,1123168.0186131713,1.0474903439071448,0.9298043661166893
2006-01-01,16353.835,16353.835,217.10099999999875,13.997341369200239,14.939720988845801,1.0576203803544377,1132254.1071620558,1.0593127834278913,0.9895317267991327
2006-04-01,16396.151,16396.151,42.31600000000253,14.001069561164911,14.94767560769672,1.0533939534681913,1141296.6744335792,1.0548451231691502,0.9670396797433294
2006-07-01,16420.738,16420.738,24.586999999999534,14.003231347409024,14.955530318307753,1.0477010291012707,1150296.5288871634,1.0488570307153795,0.9367432789792249
2006-10-01,16561.866,16561.866,141.1280000000006,14.015577607778292,14.96328815603291,1.0522894517453825,1159255.0471295274,1.0536806880919647,0.961161782079117
2007-01-01,16611.69,16611.69,49.823999999996886,14.019911233740247,14.970952524289686,1.0489587094505612,1168174.1406621214,1.0501769874599673,0.9434363571653058
2007-04-01,16713.314,16713.314,101.6239999999998,14.028710206145723,14.978527229963577,1.0501829761821462,1177056.3134069196,1.05146347154714,0.9499516159587966
2007-07-01,16809.587,16809.587,96.27300000000105,14.036996658533319,14.986016457707892,1.0509802008254265,1185904.6484465715,1.05230205836479,0.9541942574792401
2007-10-01,16915.191,16915.191,105.60399999999936,14.046031847145263,14.993424779390258,1.0526070677550052,1194722.8352181623,1.0540154071007772,0.9628520595703375
2008-01-01,16843.003,16843.003,-72.18799999999828,14.03986176421053,15.000757160244046,1.039104603966484,1203515.1931265732,1.039879253455758,0.8909951319398155
2008-04-01,16943.291,16943.291,100.28800000000047,14.04842650500125,15.008018971421356,1.040407533579895,1212286.7031866852,1.0412350259757404,0.8979290160371856
2008-07-01,16854.295,16854.295,-88.99600000000282,14.040828661497754,15.015215885807349,1.025612775690405,1221042.8977979668,1.0259436012444785,0.8191948039980503
2008-10-01,16485.35,16485.35,-368.9449999999997,14.008896896700548,15.022353888073711,0.9865430086268372,1229789.88564029,0.986633149142174,0.6112747185678046
2009-01-01,16298.262,16298.262,-187.08799999999792,13.992430507339085,15.029439160521573,0.9629913468175122,1238534.2234603513,0.9636677965196739,0.4859383292452946
2009-04-01,16269.145,16269.145,-29.11700000000019,13.989850813923637,15.036477781617256,0.9533730323063807,1247282.5485284464,0.9544433694031483,0.43475192796484613
2009-07-01,16326.281,16326.281,57.13600000000042,13.994908573149184,15.043475544266478,0.9514330288827058,1256041.346010299,0.9525935409157716,0.42442768730763475
2009-10-01,16502.754,16502.754,176.47299999999996,14.010419182844746,15.050437881598981,0.9599813012457652,1264816.8431016037,0.9607714737546948,0.4699195766530846
2010-01-01,16582.71,16582.71,79.95599999999831,14.017392175531196,15.057369851999361,0.9600223235318346,1273614.974983999,0.9608108876053562,0.4701378875841484
2010-04-01,16743.162,16743.162,160.45200000000114,14.031284390767258,15.064276205065958,0.9670081857012995,1282441.4539787364,0.967546479603092,0.5073149983848299
2010-07-01,16872.266,16872.266,129.10399999999936,14.042366124806481,15.071161381927384,0.9712047428790971,1291301.7575801234,0.971615375432449,0.5296480858972511
2010-10-01,16960.864,16960.864,88.59800000000178,14.049922043363665,15.078029569145784,0.9718924742178814,1300201.1862942816,0.972283815602659,0.5333080298759402
2011-01-01,16920.632,16920.632,-40.23199999999997,14.046495834900792,15.084884731097665,0.9616111038031274,1309144.8962620276,0.9623386182808444,0.47859300146285727
2011-04-01,17035.114,17035.114,114.48199999999997,14.056223981617366,15.09173061528048,0.9644933663368853,1318137.8980023086,0.9651163319521525,0.49393172286542636
2011-07-01,17031.313,17031.313,-3.801000000003114,14.055902040964583,15.098570672981063,0.9573313679835191,1327184.9431642455,0.9582288638301626,0.45581725683699265
2011-10-01,17222.583,17222.583,191.27000000000044,14.072013910311643,15.105408081515304,0.9666058287963395,1336290.542699148,0.9671572589042227,0.5051737498353663
2012-01-01,17367.01,17367.01,144.42699999999968,14.084061772660363,15.112245688965823,0.9718160836945398,1345458.8819016952,0.9722095451699632,0.5329014975279636
2012-04-01,17444.525,17444.525,77.51500000000306,14.0904866942228,15.119086085744161,0.9714006084786391,1354693.9041012398,0.9718057000989013,0.5306904364217208
2012-07-01,17469.65,17469.65,25.125,14.092563084064999,15.125931644793372,0.9666314392716266,1363999.3553844292,0.9671820285784809,0.505310042744432
2012-10-01,17489.852,17489.852,20.201999999997497,14.09423046070327,15.132784518382186,0.9614459423210846,1373378.771813444,0.9621796901331876,0.47771405100993397
2013-01-01,17662.4,17662.4,172.5480000000025,14.108393771960753,15.139646601305873,0.9687471706548791,1382835.4198748472,0.9692304921849005,0.5165694661558277
2013-04-01,17709.671,17709.671,47.270999999997,14.112249790336211,15.146519490874688,0.9657302994615229,1392372.230189036,0.9663108549324921,0.5005143892152846
2013-07-01,17860.45,17860.45,150.77900000000227,14.12448080964967,15.153404543250515,0.9710762663991552,1401991.8637603358,0.9714905537276545,0.5289643643730909
