"","year","month","value","value_smooth"
"145",2012,1,33.6002341527302,34.8840762708982
"146",2012,2,33.6416051275326,34.8496958447087
"147",2012,3,34.6384897981259,34.8547305067511
"148",2012,4,34.5356890866894,34.8906785600017
"149",2012,5,35.6559165465081,34.9315912241983
"150",2012,6,35.1543188063148,34.9515197190786
"151",2012,7,34.3974769685815,34.959290434761
"152",2012,8,35.5027062432152,34.9789981552995
"153",2012,9,36.1977709874619,35.0075966913355
"154",2012,10,36.7561437498247,35.0420398535106
"155",2012,11,35.0974046310227,35.0792814524662
"156",2012,12,34.6106238398982,35.1153027962066
"157",2013,1,33.2381659896042,35.1478824034593
"158",2013,2,34.4376344711014,35.1766699009509
"159",2013,3,34.2057432848294,35.2013149154078
"160",2013,4,35.3015435786973,35.2214670735567
"161",2013,5,36.3302892415034,35.2691078394301
"162",2013,6,35.3409084172624,35.3554372923842
"163",2013,7,35.4923844958664,35.4489329821306
"164",2013,8,35.7564871689093,35.518072458381
"165",2013,9,37.1014182590597,35.5313332708471
"166",2013,10,35.4371585112257,35.4635943018065
"167",2013,11,35.111798782056,35.3383071387853
"168",2013,12,34.6687493972309,35.1968083893682
"169",2014,1,34.7420153860809,35.0804346611398
"170",2014,2,35.2176270161357,34.9786706640957
"171",2014,3,34.002372642801,34.8590382105522
"172",2014,4,35.4927169511846,34.7299295615752
"173",2014,5,35.1962202026804,34.5997369782308
"174",2014,6,33.8670136714225,34.476852721585
"175",2014,7,32.4481636978144,34.3580814615911
"176",2014,8,33.3978017521842,34.2357786837598
"177",2014,9,35.9270964061812,34.1116628724928
"178",2014,10,35.8164172292272,33.9874525121921
"179",2014,11,34.3372919168009,33.8648660872596
"180",2014,12,33.8099844492774,33.730577605028
"181",2015,1,32.7580918090294,33.5808982257477
"182",2015,2,32.853139228896,33.4320021631971
"183",2015,3,32.9295311215197,33.3000636311542
"184",2015,4,33.5494907209146,33.2012568433974
"185",2015,5,33.135388795099,33.1294509893007
"186",2015,6,32.5615341869397,33.0687248512842
"187",2015,7,31.7473037380534,33.0205670326949
"188",2015,8,32.1053984909208,32.9864661368799
"189",2015,9,34.450865945901,32.9949944157038
"190",2015,10,34.6141370233776,33.0537339283096
"191",2015,11,33.9777121426747,33.1326879889623
"192",2015,12,33.1229809104778,33.2018599119267
"193",2016,1,31.344800084011,33.2312530114679
"194",2016,2,33.1708940779056,33.2229225449817
"195",2016,3,33.2428105790239,33.1989344266725
"196",2016,4,33.1866762915791,33.1593079560179
"197",2016,5,34.488849400224,33.1040624324954
"198",2016,6,32.4395052388761,33.0332171555825
"199",2016,7,32.2540344145896,32.9282875189977
"200",2016,8,32.6268908009162,32.7883579498142
"201",2016,9,33.7739282135755,32.639801297541
"202",2016,10,34.4813912353178,32.5089904116876
"203",2016,11,32.5003625572806,32.4222981417633
"204",2016,12,31.5863817283644,32.3747736502596
"205",2017,1,29.9828308963697,32.3399236520095
"206",2017,2,30.7662203725047,32.3118073250338
"207",2017,3,32.0705248100762,32.2844838473538
"208",2017,4,33.7397013196004,32.2806662763067
"209",2017,5,33.7813202749971,32.311922882348
"210",2017,6,32.5434670798075,32.355595663176
"211",2017,7,29.9779096593087,32.3890266164889
"212",2017,8,32.5150106596554,32.3895577399852
"213",2017,9,34.5446601627338,32.350909728935
"214",2017,10,33.7427412298698,32.2915709649782
"215",2017,11,32.7151745653959,32.2260349753675
"216",2017,12,31.4215954369377,32.1687952873555
"217",2018,1,30.0496933306404,32.1065007987511
"218",2018,2,30.8213243807147,32.0244493989043
"219",2018,3,32.0359186361982,31.9351081023794
"220",2018,4,32.3695162702755,31.8509439237407
"221",2018,5,33.5324766737753,31.7844238775523
"222",2018,6,31.3882095462949,31.7325148654259
"223",2018,7,30.0765394757095,31.6869229127646
"224",2018,8,31.5983325779668,31.6522237198198
"225",2018,9,32.6356759731849,31.6329929868428
"226",2018,10,33.6865268618715,31.6218041426447
"227",2018,11,31.389630467412,31.6128806581993
"228",2018,12,30.6360967484169,31.6132732970024
"229",2019,1,30.021698763126,31.6300328225497
"230",2019,2,31.8364435939353,31.670209998337
"231",2019,3,30.8604714681718,31.9011077676471
"232",2019,4,32.1378807042215,32.3550493609839
"233",2019,5,33.6842087612778,32.8366159726745
"234",2019,6,30.9427783569436,33.1503887970461
"235",2019,7,30.7874036295041,33.1009490284257
"236",2019,8,32.3878932721806,32.6098163613463
"237",2019,9,35.4437545165266,31.8215845607672
"238",2019,10,34.2339602889963,30.8754459266552
"239",2019,11,32.8096037030212,29.9105927589775
"240",2019,12,31.1617394961511,29.0662173577008
"241",2020,1,30.4049186512593,27.9884170798771
"242",2020,2,30.5010200667405,26.5306953207033
"243",2020,3,27.7557680661448,25.1433534373637
"244",2020,4,14.4516250842969,24.2766927870429
"245",2020,5,15.3341489718899,23.9149469256159
"246",2020,6,20.4353172968224,23.7313929495297
"247",2020,7,20.5330453746854,23.7098975268266
"248",2020,8,23.6021075572256,23.8343273255487
"249",2020,9,26.6362337233441,24.0885490137382
"250",2020,10,29.4293761717123,24.8229690966096
"251",2020,11,30.0997198424409,26.0925813234481
"252",2020,12,27.3425458037707,27.4381332284012
"253",2021,1,27.9135608124358,28.4003723456167
"254",2021,2,28.7189041240503,28.9875471628706
"255",2021,3,29.9803439490973,29.508757661194
"256",2021,4,29.4578304142934,29.9560286146176
"257",2021,5,30.2433543522437,30.321384797172
"258",2021,6,30.4764018780496,30.5968509828877
"259",2021,7,30.6503935938527,30.7471784095395
"260",2021,8,30.8455822285772,30.7893947172202
"261",2021,9,32.1238859458816,30.793939283437
"262",2021,10,31.7563065308666,30.8312514856974
"263",2021,11,31.6601053078555,30.8498057640839
"264",2021,12,29.7368248530108,30.7857712047595
"265",2022,1,28.5469146652896,30.6911291543517
"266",2022,2,30.046102331292,30.6178609594885
"267",2022,3,31.1741501170993,30.6179479667973
"268",2022,4,31.5355262981709,30.6832364208045
