"","label","id","Interval","classification","acs_occ_code","median_edu","median_earnings","total_employment_2010","log_median_earnings","log_total_employment_2010","auto_prob_average","women_pct"
"121","special education teachers",120,NA,"Education, training and library",2330,10.021315,37935.15,2815,10.5436334,7.942717541,0.01185,0.866
"122","other teachers and instructors",121,NA,"Education, training and library",2340,8.515562,20212.87,11663,9.914074809,9.364176717,0.16,0.6645
"123","archivists, curators, and museum technicians",122,NA,"Education, training and library",2400,9.651488,36669.89,571,10.50971126,6.34738921,0.452266667,0.632
"124","librarians",123,NA,"Education, training and library",2430,10.049743,34674.53,2332,10.45376069,7.754481547,0.65,0.825
"125","library technicians",124,NA,"Education, training and library",2440,7.236911,12503.55,764,9.433767883,6.638567789,0.99,0.825
"126","other education, training, and library workers",125,NA,"Education, training and library",2550,9.753482,35466.43,1436,10.47634189,7.26961675,0.1339,0.788
"127","teacher assistants",126,NA,"Education, training and library",2540,7.2731705,13429.09,14361,9.505178528,9.572271478,0.56,0.795
"128","artists and related workers",127,NA,"Arts, design, entertainment, sports and media",2600,8.5553055,21340.73,2667,9.968372732,7.888709524,0.02875,0.516
"129","designers",128,NA,"Arts, design, entertainment, sports and media",2630,8.485339,30985.32,9379,10.34126882,9.146228427,0.099214286,0.6805
"130","actors",129,NA,"Arts, design, entertainment, sports and media",2700,8.114552,17774.12,646,9.785498746,6.470799504,0.37,0.47
"131","producers and directors",130,NA,"Arts, design, entertainment, sports and media",2710,9.252163,56541.3,1618,10.94272662,7.388946098,0.022,0.436
"132","athletes, coaches, umpires, and related workers",131,NA,"Arts, design, entertainment, sports and media",2720,7.59493,18908.94,3787,9.847390105,8.239329428,0.424333333,0.409
"133","dancers and choreographers",132,NA,"Arts, design, entertainment, sports and media",2740,6.5559845,13422.01,259,9.504651176,5.556828062,0.067,0.47
"134","musicians, singers, and related workers",133,NA,"Arts, design, entertainment, sports and media",2750,8.359951,16314.04,2467,9.699781366,7.810758117,0.0445,0.271
"135","announcers",134,NA,"Arts, design, entertainment, sports and media",2800,7.752809,29437.34,623,10.29001922,6.434546519,0.41,0.513
"136","news analysts, reporters and correspondents",135,NA,"Arts, design, entertainment, sports and media",2810,9.591287,42943.24,964,10.66763452,6.871091295,0.0885,0.513
"137","public relations specialists",136,NA,"Arts, design, entertainment, sports and media",2825,9.3930025,56051.69,1715,10.93402958,7.44716836,0.18,0.762
