"","acs_occ_code","OCC2010_cps","acs_occ_code_label","major_cat","OCC2010_desc","OCC2010","SOC2010","SOC_major","SOC_minor","SOC_broad"
"98",1660,1650,"1660",NA,"Life scientists, all other",1660,"19-1099","19","19-1000","19-1090"
"99",1700,1700,"Astronomers and Physicists",NA,"Astronomers and physicists",1700,"19-2010","19","19-2000","19-2010"
"100",1710,1710,"Atmospheric and Space Scientists",NA,"Atmospheric and space scientists",1710,"19-2021","19","19-2000","19-2020"
"101",1720,1720,"Chemists and Materials Scientists",NA,"Chemists and materials scientists",1720,"19-2030","19","19-2000","19-2030"
"102",1740,1740,"Environmental Scientists and Geoscientists",NA,"Environmental scientists and geoscientists",1740,"19-2040","19","19-2000","19-2040"
"103",1760,1760,"Physical Scientists, nec",NA,"Physical scientists, all other",1760,"19-2099","19","19-2000","19-2090"
"104",1800,1800,"Economists and market researchers",NA,"Economists",1800,"19-3011","19","19-3000","19-3010"
"105",1815,1800,"1815",NA,"Survey researchers",1815,"19-3022","19","19-3000","19-3020"
"106",1820,1820,"Psychologists",NA,"Psychologists",1820,"19-3030","19","19-3000","19-3030"
"107",1830,1830,"Urban and Regional Planners",NA,"Sociologists",1830,"19-3041","19","19-3000","19-3040"
"108",1840,1840,"Social Scientists, nec",NA,"Urban and regional planners",1840,"19-3051","19","19-3000","19-3050"
"109",1860,1840,"1860",NA,"Miscellaneous social scientists and related workers",1860,"19-3090","19","19-3000","19-3090"
"110",1900,1900,"Agricultural and Food Science Technicians",NA,"Agricultural and food science technicians",1900,"19-4011","19","19-4000","19-4010"
"111",1910,1910,"Biological Technicians",NA,"Biological technicians",1910,"19-4021","19","19-4000","19-4020"
"112",1920,1920,"Chemical Technicians",NA,"Chemical technicians",1920,"19-4031","19","19-4000","19-4030"
"113",1930,1930,"Geological and Petroleum Technicians, and Nuclear Technicians",NA,"Geological and petroleum technicians",1930,"19-4041","19","19-4000","19-4040"
"114",1940,1930,"1940",NA,"Nuclear technicians",1940,"19-4051","19","19-4000","19-4050"
"115",1950,1930,"1950",NA,"Social science research assistants",1950,"19-4061","19","19-4000","19-4060"
"116",1965,1960,"1965",NA,"Miscellaneous life, physical, and social science technicians",1965,"19-4090","19","19-4000","19-4090"
"117",2000,2000,"Counselors",NA,"Counselors",2000,"21-1010","21","21-1000","21-1010"
"118",2010,2010,"Social Workers",NA,"Social workers",2010,"21-1020","21","21-1000","21-1020"
"119",2015,2010,"2015",NA,"Probation officers and correctional treatment specialists",2015,"21-1092","21","21-1000","21-1090"
"120",2016,2010,"2016",NA,"Social and human service assistants",2016,"21-1093","21","21-1000","21-1090"
"121",2025,2020,"2025",NA,"Miscellaneous community and social service specialists, including health educators and community health workers",2025,"21-109X","21","21-1000","21-1090"
"122",2040,2040,"Clergy",NA,"Clergy",2040,"21-2011","21","21-2000","21-2010"
"123",2050,2050,"Directors, Religious Activities and Education",NA,"Directors, religious activities and education",2050,"21-2021","21","21-2000","21-2020"
"124",2060,2060,"Religious Workers, nec",NA,"Religious workers, all other",2060,"21-2099","21","21-2000","21-2090"
"125",2100,2100,"Lawyers, and judges, magistrates, and other judicial workers",NA,"Lawyers",2100,"23-1011","23","23-1000","23-1010"
"126",2105,2100,"2105",NA,"Judicial law clerks",2105,"23-1012","23","23-1000","23-1010"
"127",2145,2140,"2145",NA,"Paralegals and legal assistants",2145,"23-2011","23","23-2000","23-2010"
"128",2160,2150,"2160",NA,"Miscellaneous legal support workers",2160,"23-2090","23","23-2000","23-2090"
"129",2200,2200,"Postsecondary Teachers",NA,"Postsecondary teachers",2200,"25-1000","25","25-1000","25-1000"
"130",2300,2300,"Preschool and Kindergarten Teachers",NA,"Preschool and kindergarten teachers",2300,"25-2010","25","25-2000","25-2010"
"131",2310,2310,"Elementary and Middle School Teachers",NA,"Elementary and middle school teachers",2310,"25-2020","25","25-2000","25-2020"
"132",2320,2320,"Secondary School Teachers",NA,"Secondary school teachers",2320,"25-2030","25","25-2000","25-2030"
"133",2330,2330,"Special Education Teachers",NA,"Special education teachers",2330,"25-2050","25","25-2000","25-2050"
"134",2340,2340,"Other Teachers and Instructors",NA,"Other teachers and instructors",2340,"25-3000","25","25-3000","25-3000"
"135",2400,2400,"Archivists, Curators, and Museum Technicians",NA,"Archivists, curators, and museum technicians",2400,"25-4010","25","25-4000","25-4010"
"136",2430,2430,"Librarians",NA,"Librarians",2430,"25-4021","25","25-4000","25-4020"
"137",2440,2440,"Library Technicians",NA,"Library technicians",2440,"25-4031","25","25-4000","25-4030"
