"","acs_occ_code","OCC2010_cps","acs_occ_code_label","major_cat","OCC2010_desc","OCC2010","SOC2010","SOC_major","SOC_minor","SOC_broad"
"456",8400,8400,"Textile bleaching and dyeing, and cutting machine setters, operators, and tenders",NA,"Textile cutting machine setters, operators, and tenders",8400,"51-6062","51","51-6000","51-6060"
"457",8410,8410,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",NA,"Textile knitting and weaving machine setters, operators, and tenders",8410,"51-6063","51","51-6000","51-6060"
"458",8420,8420,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",NA,"Textile winding, twisting, and drawing out machine setters, operators, and tenders",8420,"51-6064","51","51-6000","51-6060"
"459",8430,8420,"8430",NA,"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",8430,"51-6091","51","51-6000","51-6090"
"460",8440,8420,"8440",NA,"Fabric and apparel patternmakers",8440,"51-6092","51","51-6000","51-6090"
"461",8450,8450,"Upholsterers",NA,"Upholsterers",8450,"51-6093","51","51-6000","51-6090"
"462",8460,8460,"Textile, Apparel, and Furnishings workers, nec",NA,"Textile, apparel, and furnishings workers, all other",8460,"51-6099","51","51-6000","51-6090"
"463",8500,8500,"Cabinetmakers and Bench Carpenters",NA,"Cabinetmakers and bench carpenters",8500,"51-7011","51","51-7000","51-7010"
"464",8510,8510,"Furniture Finishers",NA,"Furniture finishers",8510,"51-7021","51","51-7000","51-7020"
"465",8530,8530,"Sawing Machine Setters, Operators, and Tenders, Wood",NA,"Sawing machine setters, operators, and tenders, wood",8530,"51-7041","51","51-7000","51-7040"
"466",8540,8540,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",NA,"Woodworking machine setters, operators, and tenders, except sawing",8540,"51-7042","51","51-7000","51-7040"
"467",8550,8550,"Woodworkers including model makers and patternmakers, nec",NA,"Woodworkers, all other",8550,"51-7099","51","51-7000","51-7090"
"468",8600,8600,"Power Plant Operators, Distributors, and Dispatchers",NA,"Power plant operators, distributors, and dispatchers",8600,"51-8010","51","51-8000","51-8010"
"469",8610,8610,"Stationary Engineers and Boiler Operators",NA,"Stationary engineers and boiler operators",8610,"51-8021","51","51-8000","51-8020"
"470",8620,8620,"Water Wastewater Treatment Plant and System Operators",NA,"Water and wastewater treatment plant and system operators",8620,"51-8031","51","51-8000","51-8030"
"471",8630,8630,"Plant and System Operators, nec",NA,"Miscellaneous plant and system operators",8630,"51-8090","51","51-8000","51-8090"
"472",8640,8640,"Chemical Processing Machine Setters, Operators, and Tenders",NA,"Chemical processing machine setters, operators, and tenders",8640,"51-9010","51","51-9000","51-9010"
"473",8650,8650,"Crushing, Grinding, Polishing, Mixing, and Blending Workers",NA,"Crushing, grinding, polishing, mixing, and blending workers",8650,"51-9020","51","51-9000","51-9020"
"474",8710,8710,"Cutting Workers",NA,"Cutting workers",8710,"51-9030","51","51-9000","51-9030"
"475",8720,8720,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",NA,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",8720,"51-9041","51","51-9000","51-9040"
"476",8730,8730,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",NA,"Furnace, kiln, oven, drier, and kettle operators and tenders",8730,"51-9051","51","51-9000","51-9050"
"477",8740,8740,"Inspectors, Testers, Sorters, Samplers, and Weighers",NA,"Inspectors, testers, sorters, samplers, and weighers",8740,"51-9061","51","51-9000","51-9060"
"478",8750,8750,"Jewelers and Precious Stone and Metal Workers",NA,"Jewelers and precious stone and metal workers",8750,"51-9071","51","51-9000","51-9070"
"479",8760,8760,"Medical, Dental, and Ophthalmic Laboratory Technicians",NA,"Medical, dental, and ophthalmic laboratory technicians",8760,"51-9080","51","51-9000","51-9080"
"480",8800,8800,"Packaging and Filling Machine Operators and Tenders",NA,"Packaging and filling machine operators and tenders",8800,"51-9111","51","51-9000","51-9110"
"481",8810,8810,"Painting Workers and Dyers",NA,"Painting workers",8810,"51-9120","51","51-9000","51-9120"
"482",8830,8830,"Photographic Process Workers and Processing Machine Operators",NA,"Photographic process workers and processing machine operators",8830,"51-9151","51","51-9000","51-9150"
"483",8840,8830,"8840",NA,"Semiconductor processors",8840,"51-9141","51","51-9000","51-9140"
"484",8850,8850,"Adhesive Bonding Machine Operators and Tenders",NA,"Adhesive bonding machine operators and tenders",8850,"51-9191","51","51-9000","51-9190"
"485",8860,8860,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",NA,"Cleaning, washing, and metal pickling equipment operators and tenders",8860,"51-9192","51","51-9000","51-9190"
"486",8900,8860,"8900",NA,"Cooling and freezing equipment operators and tenders",8900,"51-9193","51","51-9000","51-9190"
"487",8910,8910,"Etchers, Engravers, and Lithographers",NA,"Etchers and engravers",8910,"51-9194","51","51-9000","51-9190"
"488",8920,8920,"Molders, Shapers, and Casters, Except Metal and Plastic",NA,"Molders, shapers, and casters, except metal and plastic",8920,"51-9195","51","51-9000","51-9190"
"489",8930,8930,"Paper Goods Machine Setters, Operators, and Tenders",NA,"Paper goods machine setters, operators, and tenders",8930,"51-9196","51","51-9000","51-9190"
"490",8940,8940,"Tire Builders",NA,"Tire builders",8940,"51-9197","51","51-9000","51-9190"
"491",8950,8950,"Helpers--Production Workers",NA,"Helpers--production workers",8950,"51-9198","51","51-9000","51-9190"
"492",8965,8965,"Other production workers including semiconductor processors and cooling and freezing equipment operators",NA,"Production workers, all other",8965,"51-9199","51","51-9000","51-9190"
"493",9000,9000,"Supervisors of Transportation and Material Moving Workers",NA,"Supervisors of transportation and material moving workers",9000,"53-1000","53","53-1000","53-1000"
"494",9030,9030,"Aircraft Pilots and Flight Engineers",NA,"Aircraft pilots and flight engineers",9030,"53-2010","53","53-2000","53-2010"
"495",9040,9040,"Air Traffic Controllers and Airfield Operations Specialists",NA,"Air traffic controllers and airfield operations specialists",9040,"53-2020","53","53-2000","53-2020"
"496",9050,9050,"Flight Attendants and Transportation Workers and Attendants",NA,"Flight attendants",9050,"53-2031","53","53-2000","53-2030"
"497",9110,9100,"9110",NA,"Ambulance drivers and attendants, except emergency medical technicians",9110,"53-3011","53","53-3000","53-3010"
"498",9120,9100,"9120",NA,"Bus drivers",9120,"53-3020","53","53-3000","53-3020"
"499",9130,9130,"Driver/Sales Workers and Truck Drivers",NA,"Driver/sales workers and truck drivers",9130,"53-3030","53","53-3000","53-3030"
"500",9140,9140,"Taxi Drivers and Chauffeurs",NA,"Taxi drivers and chauffeurs",9140,"53-3041","53","53-3000","53-3040"
"501",9150,9150,"Motor Vehicle Operators, All Other",NA,"Motor vehicle operators, all other",9150,"53-3099","53","53-3000","53-3090"
"502",9200,9200,"Locomotive Engineers and Operators",NA,"Locomotive engineers and operators",9200,"53-4010","53","53-4000","53-4010"
"503",9230,9230,"Railroad Brake, Signal, and Switch Operators",NA,"Railroad brake, signal, and switch operators",9230,"53-4021","53","53-4000","53-4020"
"504",9240,9240,"Railroad Conductors and Yardmasters",NA,"Railroad conductors and yardmasters",9240,"53-4031","53","53-4000","53-4030"
"505",9260,9260,"Subway, Streetcar, and Other Rail Transportation Workers",NA,"Subway, streetcar, and other rail transportation workers",9260,"53-40XX","53","53-4000","53-40X0"
"506",9300,9300,"Sailors and marine oilers, and ship engineers",NA,"Sailors and marine oilers",9300,"53-5011","53","53-5000","53-5010"
"507",9310,9310,"Ship and Boat Captains and Operators",NA,"Ship and boat captains and operators",9310,"53-5020","53","53-5000","53-5020"
"508",9330,9310,"9330",NA,"Ship engineers",9330,"53-5031","53","53-5000","53-5030"
"509",9340,9310,"9340",NA,"Bridge and lock tenders",9340,"53-6011","53","53-6000","53-6010"
"510",9350,9350,"Parking Lot Attendants",NA,"Parking lot attendants",9350,"53-6021","53","53-6000","53-6020"
"511",9360,9360,"Automotive and Watercraft Service Attendants",NA,"Automotive and watercraft service attendants",9360,"53-6031","53","53-6000","53-6030"
"512",9410,9410,"Transportation Inspectors",NA,"Transportation inspectors",9410,"53-6051","53","53-6000","53-6050"
"513",9415,9410,"9415",NA,"Transportation attendants, except flight attendants",9415,"53-6061","53","53-6000","53-6060"
"514",9420,9420,"Transportation workers, nec",NA,"Other transportation workers",9420,"53-60XX","53","53-6000","53-60X0"
"515",9500,9420,"9500",NA,"Conveyor operators and tenders",9500,"53-7011","53","53-7000","53-7010"
"516",9510,9510,"Crane and Tower Operators",NA,"Crane and tower operators",9510,"53-7021","53","53-7000","53-7020"
"517",9520,9520,"Dredge, Excavating, and Loading Machine Operators",NA,"Dredge, excavating, and loading machine operators",9520,"53-7030","53","53-7000","53-7030"
"518",9560,9560,"Conveyor operators and tenders, and hoist and winch operators",NA,"Hoist and winch operators",9560,"53-7041","53","53-7000","53-7040"
"519",9600,9600,"Industrial Truck and Tractor Operators",NA,"Industrial truck and tractor operators",9600,"53-7051","53","53-7000","53-7050"
"520",9610,9610,"Cleaners of Vehicles and Equipment",NA,"Cleaners of vehicles and equipment",9610,"53-7061","53","53-7000","53-7060"
"521",9620,9620,"Laborers and Freight, Stock, and Material Movers, Hand",NA,"Laborers and freight, stock, and material movers, hand",9620,"53-7062","53","53-7000","53-7060"
"522",9630,9630,"Machine Feeders and Offbearers",NA,"Machine feeders and offbearers",9630,"53-7063","53","53-7000","53-7060"
"523",9640,9640,"Packers and Packagers, Hand",NA,"Packers and packagers, hand",9640,"53-7064","53","53-7000","53-7060"
"524",9650,9650,"Pumping Station Operators",NA,"Pumping station operators",9650,"53-7070","53","53-7000","53-7070"
"525",9720,9720,"Refuse and Recyclable Material Collectors",NA,"Refuse and recyclable material collectors",9720,"53-7081","53","53-7000","53-7080"
"526",9730,9720,"9730",NA,"Mine shuttle car operators",9730,"53-7111","53","53-7000","53-7110"
"527",9740,9720,"9740",NA,"Tank car, truck, and ship loaders",9740,"53-7121","53","53-7000","53-7120"
"528",9750,9750,"Material moving workers, nec",NA,"Material moving workers, all other",9750,"53-7199","53","53-7000","53-7190"
