d_u,gamma_u,distance,otj,cyc_otj,cyc_ue,disc,timestamp,model_cat,error
0.37562500000000004,0.25075000000000003,703.6001953070315,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.37562500000000004,0.292375,882.3992651621579,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.37562500000000004,0.334,681.4258663352405,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.37562500000000004,0.37562500000000004,811.1579367118936,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.37562500000000004,0.41725,646.9547170121476,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.37562500000000004,0.45887500000000003,942.8284532179619,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.37562500000000004,0.5005000000000001,830.3168113866815,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.37562500000000004,0.5421250000000001,786.8642811806767,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.37562500000000004,0.58375,501.7239690283542,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.37562500000000004,0.625375,760.6011120474534,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.37562500000000004,0.667,666.9534856293293,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.37562500000000004,0.7086250000000001,783.8614092632208,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.37562500000000004,0.7502500000000001,1267.0400928633842,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.37562500000000004,0.791875,838.102342256199,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.37562500000000004,0.8335,973.1684785806443,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.37562500000000004,0.875125,875.356827925855,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.37562500000000004,0.9167500000000001,709.9250353347734,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.37562500000000004,0.9583750000000001,743.7377497252828,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
